# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGLP-mohamed06 | Generated: 2026-09-26 13:10

=== 1. SOP PENDING TASKS (16) ===
Student_ID,Task_Name,Expiration_Time
64159793,"Round 3 Habit Cultivation (1st Unit Assessment)",20260926 18:55:00
64180345,"Round 3 Habit Cultivation (1st Unit Assessment)",20260926 18:55:00
64362689,"Round 2  Trust Enhancement (First Class Follow-up)",20260926 18:55:00
59982593,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
61842956,"SS:Service warning - absence",20260928 18:55:00
61926934,"SS:Service warning - absence",20260928 18:55:00
61954656,"SS:Service warning - absence",20260928 18:55:00
62682787,"SS:Service warning - absence",20260928 18:55:00
63201607,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63548001,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63606009,"SS:Service warning - absence",20260928 18:55:00
63627295,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
64159793,"English Club Booking",20260929 18:55:00
64170162,"English Club Booking",20260929 18:55:00
64180345,"English Club Booking",20260929 18:55:00
64280596,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action

=== 4. ENGLISH CLUB ACTIONABLE LEADS (81) ===
Student_ID,Level,Completed_Classes,Booking_Status
63058549,"1",0,"Booking Required"
63120286,"0",1,"Attended"
63163518,"1",0,"Booking Required"
60122480,"1",0,"Booking Required"
63204215,"1",0,"Booking Required"
63198804,"0",0,"Booking Required"
63203514,"2",0,"Booking Required"
60878864,"1",0,"Booking Required"
63273811,"1",1,"Attended"
57962078,"1",1,"Attended"
59822821,"0",1,"Attended"
63370165,"0",1,"Attended"
63397811,"0",1,"Attended"
63426901,"1",0,"Booking Required"
61216239,"3",0,"Booking Required"
61410343,"1",0,"Booking Required"
60540732,"1",0,"Booking Required"
63479850,"3",0,"Booking Required"
63497650,"1",1,"Attended"
61837241,"1",0,"Booking Required"
63530154,"0",1,"Attended"
63540846,"1",0,"Booking Required"
60223925,"3",0,"Booking Required"
63606009,"0",1,"Attended"
63614200,"3",0,"Booking Required"
62280759,"2",0,"Booking Required"
63627295,"1",1,"Attended"
63647101,"2",0,"Booking Required"
58640202,"1",1,"Attended"
63658673,"3",0,"Booking Required"
59982593,"0",1,"Attended"
63673145,"0",1,"Attended"
63670999,"1",0,"Booked"
63697401,"1",2,"Attended"
63722447,"0",0,"Booking Required"
59067152,"3",0,"Booking Required"
63700187,"3",0,"Booking Required"
63735125,"3",0,"Booking Required"
58112904,"0",1,"Attended"
63711248,"0",1,"Attended"
58785135,"1",0,"Booking Required"
59018881,"0",1,"Attended"
63095268,"1",1,"Attended"
63094900,"3",0,"Booking Required"
60652657,"0",0,"Booking Required"
63636528,"0",0,"Booking Required"
63838885,"1",1,"Attended"
60650356,"2",0,"Booking Required"
58564908,"2",0,"Booking Required"
63886251,"0",0,"Booked"
63783496,"2",0,"Booking Required"
63932127,"0",0,"Booking Required"
63970339,"3",0,"Booking Required"
63961952,"0",0,"Booked"
63955491,"2",0,"Booking Required"
63997697,"0",0,"Booking Required"
61762805,"2",0,"Booking Required"
58355382,"1",0,"Booking Required"
64102669,"1",1,"Attended"
64102114,"1",1,"Attended"
58186111,"1",1,"Attended"
61664150,"2",0,"Booking Required"
64150751,"0",1,"Attended"
64150953,"0",1,"Attended"
64160586,"0",0,"Booking Required"
62540593,"2",0,"Booking Required"
62521442,"3",0,"Booking Required"
64159793,"3",0,"Booking Required"
64180345,"2",0,"Booking Required"
64190504,"0",0,"Booking Required"
64170162,"0",0,"Booking Required"
64199106,"1",0,"Booking Required"
64198847,"1",0,"Booking Required"
59109986,"2",0,"Booking Required"
63632047,"0",0,"Booked"
64258456,"1",1,"Attended"
64280596,"0",0,"Booking Required"
64306096,"1",0,"Booking Required"
64362689,"2",0,"Booking Required"
64410225,"0",0,"Booking Required"
64427516,"2",0,"Booking Required"
