# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGLP-yasmin01 | Generated: 2026-09-16 19:33

=== 1. SOP PENDING TASKS (0) ===
Student_ID,Task_Name,Expiration_Time

=== 2. UNFIXED TEACHER BINDING LEADS (25) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
58846157,"M2 Pool",0,"MEDIUM BINDING"
58850122,"M3+ Pool",0,"UNFIXED BINDING"
59089760,"M1 Pool",0,"HIGH BINDING"
59564586,"M3+ Pool",0,"UNFIXED BINDING"
60547370,"M2 Pool",0,"MEDIUM BINDING"
60708375,"M1 Pool",0,"HIGH BINDING"
61666459,"M3+ Pool",0,"UNFIXED BINDING"
61795292,"M3+ Pool",0,"UNFIXED BINDING"
62384965,"M3+ Pool",0,"UNFIXED BINDING"
62596738,"M3+ Pool",0,"UNFIXED BINDING"
62623189,"M3+ Pool",0,"UNFIXED BINDING"
62969723,"M1 Pool",0,"HIGH BINDING"
63390312,"M2 Pool",0,"MEDIUM BINDING"
63481217,"M2 Pool",0,"MEDIUM BINDING"
63490937,"M3+ Pool",0,"UNFIXED BINDING"
63523188,"M3+ Pool",0,"UNFIXED BINDING"
63635901,"M2 Pool",0,"MEDIUM BINDING"
63701689,"M2 Pool",0,"MEDIUM BINDING"
63763270,"M2 Pool",0,"MEDIUM BINDING"
64141903,"M1 Pool",0,"HIGH BINDING"
64177823,"M1 Pool",0,"HIGH BINDING"
64191173,"M0 Pool",0,"CRITICAL (0 Classes)"
64198832,"M0 Pool",0,"CRITICAL (0 Classes)"
64213375,"M0 Pool",0,"CRITICAL (0 Classes)"
64213902,"M0 Pool",0,"CRITICAL (0 Classes)"

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (108) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action
58151985,"M1 Pool",2,"Low Consumption Follow-up"
58206230,"M2 Pool",5,"Low Consumption Follow-up"
58343551,"M2 Pool",1,"Low Consumption Follow-up"
58517743,"M2 Pool",4,"Low Consumption Follow-up"
58792434,"M3+ Pool",2,"Low Consumption Follow-up"
58824521,"M1 Pool",3,"Low Consumption Follow-up"
58846048,"M2 Pool",3,"Low Consumption Follow-up"
58846157,"M2 Pool",1,"Low Consumption Follow-up"
58850122,"M3+ Pool",1,"Low Consumption Follow-up"
58884682,"M1 Pool",3,"Low Consumption Follow-up"
59089760,"M1 Pool",1,"Low Consumption Follow-up"
59564586,"M3+ Pool",3,"Low Consumption Follow-up"
60215401,"M3+ Pool",2,"Low Consumption Follow-up"
60413417,"M1 Pool",2,"Low Consumption Follow-up"
60547370,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
60697183,"M2 Pool",2,"Low Consumption Follow-up"
60708375,"M1 Pool",3,"Low Consumption Follow-up"
60750374,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
60757478,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
61421140,"M3+ Pool",4,"Low Consumption Follow-up"
61522528,"M3+ Pool",2,"Low Consumption Follow-up"
61566872,"M2 Pool",3,"Low Consumption Follow-up"
61666459,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
61673615,"M3+ Pool",3,"Low Consumption Follow-up"
61676279,"M3+ Pool",3,"Low Consumption Follow-up"
61774957,"M3+ Pool",3,"Low Consumption Follow-up"
61795292,"M3+ Pool",1,"Low Consumption Follow-up"
61796164,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
61799841,"M3+ Pool",3,"Low Consumption Follow-up"
61800964,"M3+ Pool",3,"Low Consumption Follow-up"
61801131,"M3+ Pool",1,"Low Consumption Follow-up"
61802070,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
61803848,"M3+ Pool",3,"Low Consumption Follow-up"
61804073,"M3+ Pool",4,"Low Consumption Follow-up"
61809571,"M3+ Pool",3,"Low Consumption Follow-up"
61810712,"M3+ Pool",2,"Low Consumption Follow-up"
61813580,"M3+ Pool",1,"Low Consumption Follow-up"
61824757,"M3+ Pool",4,"Low Consumption Follow-up"
61839671,"M3+ Pool",4,"Low Consumption Follow-up"
61968742,"M1 Pool",1,"Low Consumption Follow-up"
62073923,"M1 Pool",2,"Low Consumption Follow-up"
62367477,"M3+ Pool",1,"Low Consumption Follow-up"
62384965,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
62401080,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
62437837,"M3+ Pool",4,"Low Consumption Follow-up"
62538008,"M3+ Pool",4,"Low Consumption Follow-up"
62596738,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
62623189,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
62969723,"M1 Pool",2,"Low Consumption Follow-up"
62969730,"M2 Pool",2,"Low Consumption Follow-up"
63378710,"M3+ Pool",2,"Low Consumption Follow-up"
63390312,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
63477988,"M3+ Pool",1,"Low Consumption Follow-up"
63481217,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
63490937,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
63503004,"M2 Pool",2,"Low Consumption Follow-up"
63523188,"M3+ Pool",0,"Zero Consumption - Urgent Booking Call"
63584101,"M2 Pool",3,"Low Consumption Follow-up"
63595064,"M2 Pool",1,"Low Consumption Follow-up"
63606324,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
63606413,"M2 Pool",0,"Zero Consumption - Urgent Booking Call"
63615754,"M2 Pool",3,"Low Consumption Follow-up"
63617180,"M2 Pool",2,"Low Consumption Follow-up"
63635901,"M2 Pool",3,"Low Consumption Follow-up"
63646074,"M2 Pool",4,"Low Consumption Follow-up"
63661884,"M2 Pool",3,"Low Consumption Follow-up"
63662219,"M2 Pool",3,"Low Consumption Follow-up"
63683296,"M2 Pool",3,"Low Consumption Follow-up"
63701689,"M2 Pool",2,"Low Consumption Follow-up"
63712673,"M2 Pool",4,"Low Consumption Follow-up"
63720144,"M2 Pool",2,"Low Consumption Follow-up"
63721494,"M2 Pool",3,"Low Consumption Follow-up"
63735712,"M2 Pool",1,"Low Consumption Follow-up"
63763270,"M2 Pool",3,"Low Consumption Follow-up"
63782728,"M2 Pool",3,"Low Consumption Follow-up"
63789958,"M1 Pool",3,"Low Consumption Follow-up"
