# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-abdelrahmannasef | Generated: 2026-09-26 18:10

=== 1. SOP PENDING TASKS (16) ===
Student_ID,Task_Name,Expiration_Time
64181054,"English Club Booking",20260926 18:55:00
64426805,"Round 1  Awareness building (First call)",20260926 18:55:00
58709356,"English Club Booking",20260927 18:55:00
61230031,"SS:Service warning - absence",20260927 18:55:00
61564303,"SS:Service warning - absence",20260927 18:55:00
62801800,"SS:Service warning - absence",20260927 18:55:00
62839343,"SS:Service warning - absence",20260927 18:55:00
62994079,"SS:Service warning - absence",20260927 18:55:00
63399017,"SS:Service warning - absence",20260927 18:55:00
64420711,"Round 1  Awareness building (First call)",20260927 18:55:00
64420802,"Round 1  Awareness building (First call)",20260927 18:55:00
60465073,"SS:Service warning - absence",20260928 18:55:00
63485592,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260928 18:55:00
58842848,"English Club Booking",20260929 18:55:00
63731475,"English Club Booking",20260929 18:55:00
64116568,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (48) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
58340155,"M3+ Pool",0,"UNFIXED BINDING"
58453990,"M3+ Pool",0,"UNFIXED BINDING"
59119508,"M3+ Pool",0,"UNFIXED BINDING"
59120063,"M3+ Pool",0,"UNFIXED BINDING"
59202463,"M3+ Pool",0,"UNFIXED BINDING"
59540645,"M3+ Pool",0,"UNFIXED BINDING"
59724446,"M3+ Pool",0,"UNFIXED BINDING"
59932656,"M3+ Pool",0,"UNFIXED BINDING"
60160880,"M3+ Pool",0,"UNFIXED BINDING"
60590755,"M3+ Pool",0,"UNFIXED BINDING"
60669029,"M3+ Pool",0,"UNFIXED BINDING"
60737407,"M3+ Pool",0,"UNFIXED BINDING"
60760610,"M3+ Pool",0,"UNFIXED BINDING"
60792943,"M3+ Pool",0,"UNFIXED BINDING"
60911097,"M3+ Pool",0,"UNFIXED BINDING"
60917706,"M3+ Pool",0,"UNFIXED BINDING"
60949819,"M3+ Pool",0,"UNFIXED BINDING"
61060913,"M3+ Pool",0,"UNFIXED BINDING"
61068377,"M3+ Pool",0,"UNFIXED BINDING"
61137809,"M3+ Pool",0,"UNFIXED BINDING"
61199529,"M3+ Pool",0,"UNFIXED BINDING"
61601902,"M3+ Pool",0,"UNFIXED BINDING"
61637923,"M2 Pool",0,"MEDIUM BINDING"
62186520,"M2 Pool",0,"MEDIUM BINDING"
62271612,"M3+ Pool",0,"UNFIXED BINDING"
62280223,"M3+ Pool",0,"UNFIXED BINDING"
62290266,"M3+ Pool",0,"UNFIXED BINDING"
62453515,"M3+ Pool",0,"UNFIXED BINDING"
62453792,"M3+ Pool",0,"UNFIXED BINDING"
62499657,"M3+ Pool",0,"UNFIXED BINDING"
62499896,"M3+ Pool",0,"UNFIXED BINDING"
62505624,"M3+ Pool",0,"UNFIXED BINDING"
62917016,"M3+ Pool",0,"UNFIXED BINDING"
62961211,"M3+ Pool",0,"UNFIXED BINDING"
62984619,"M3+ Pool",0,"UNFIXED BINDING"
63235992,"M3+ Pool",0,"UNFIXED BINDING"
63321399,"M3+ Pool",0,"UNFIXED BINDING"
63325725,"M3+ Pool",0,"UNFIXED BINDING"
63608038,"M2 Pool",0,"MEDIUM BINDING"
63616070,"M2 Pool",0,"MEDIUM BINDING"
63616328,"M2 Pool",0,"MEDIUM BINDING"
63731475,"M2 Pool",0,"MEDIUM BINDING"
63866511,"M2 Pool",0,"MEDIUM BINDING"
64026066,"M1 Pool",0,"HIGH BINDING"
64042581,"M1 Pool",0,"HIGH BINDING"
64420711,"M0 Pool",0,"CRITICAL (0 Classes)"
64420802,"M0 Pool",0,"CRITICAL (0 Classes)"
64426805,"M0 Pool",0,"CRITICAL (0 Classes)"

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (223) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action
58913873,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59216856,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59540645,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59559209,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60200699,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60590755,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60737407,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60760610,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60792943,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60911097,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61127882,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61199529,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61260138,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61272274,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61395351,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61745778,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61967583,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61976078,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
