# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-ahmedshoukry | Generated: 2026-09-26 13:10

=== 1. SOP PENDING TASKS (16) ===
Student_ID,Task_Name,Expiration_Time
62476509,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260926 18:55:00
64276101,"Round 3 Habit Cultivation (1st Unit Assessment)",20260926 18:55:00
64175909,"Round 3 Habit Cultivation (1st Unit Assessment)",20260927 18:55:00
58369570,"SS:Service warning - absence",20260928 18:55:00
58968975,"SS:Service warning - absence",20260928 18:55:00
61031408,"SS:Service warning - absence",20260928 18:55:00
62940978,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63028516,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260928 18:55:00
63032164,"SS:Service warning - absence",20260928 18:55:00
63059931,"SS:Service warning - absence",20260928 18:55:00
63756546,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63793087,"SS:Service warning - absence",20260928 18:55:00
63946512,"SS:Service warning - absence",20260928 18:55:00
64141621,"SS:Service warning - absence",20260928 18:55:00
64429572,"Round 2  Trust Enhancement (First Class Follow-up)",20260928 18:55:00
63307397,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action

=== 4. ENGLISH CLUB ACTIONABLE LEADS (118) ===
Student_ID,Level,Completed_Classes,Booking_Status
59988907,"3",0,"Booking Required"
63101102,"1",0,"Booking Required"
63088465,"1",1,"Attended"
63104306,"1",1,"Attended"
58228743,"1",1,"Attended"
62918034,"0",2,"Attended"
63144000,"1",1,"Attended"
63137174,"0",1,"Attended"
63138002,"1",1,"Attended"
61993795,"3",0,"Booking Required"
63147386,"2",0,"Booking Required"
63180951,"1",0,"Booked"
63122092,"1",0,"Booking Required"
63307397,"0",0,"Booking Required"
63307829,"2",0,"Booking Required"
63316699,"1",0,"Booking Required"
63317253,"3",0,"Booking Required"
63333516,"2",1,"Attended"
63358100,"1",0,"Booked"
63348204,"0",0,"Booked"
63368136,"1",0,"Booking Required"
63368572,"1",0,"Booking Required"
58385099,"1",1,"Attended"
58424026,"3",0,"Booking Required"
63416230,"0",0,"Booking Required"
60190024,"2",0,"Booking Required"
58968975,"1",0,"Booking Required"
63453483,"2",0,"Booked"
63495821,"1",1,"Attended"
63509483,"1",0,"Booking Required"
59192323,"2",0,"Booked"
63024434,"1",1,"Attended"
63529637,"3",0,"Booking Required"
63556880,"1",1,"Attended"
59889537,"0",0,"Booked"
61975775,"1",0,"Booking Required"
63448882,"1",0,"Booking Required"
63453500,"3",0,"Booking Required"
62332751,"0",0,"Booking Required"
58763370,"1",0,"Booking Required"
61543283,"1",0,"Booking Required"
63453561,"2",0,"Booked"
63574954,"0",1,"Attended"
60534277,"1",1,"Attended"
61953557,"1",1,"Attended"
63561139,"3",0,"Booking Required"
63582317,"0",0,"Booking Required"
63583069,"0",0,"Booking Required"
58614264,"2",0,"Booking Required"
60404932,"0",0,"Booking Required"
63611786,"0",0,"Booking Required"
63551032,"0",1,"Attended"
63630258,"2",0,"Booked"
63662281,"3",1,"Attended"
63662469,"0",1,"Attended"
63672032,"2",1,"Attended"
63652057,"1",0,"Booking Required"
63681025,"3",0,"Booking Required"
63711538,"1",1,"Attended"
63711282,"2",1,"Attended"
63711851,"3",1,"Attended"
63734706,"1",0,"Booking Required"
63756546,"0",0,"Booking Required"
63742225,"0",0,"Booking Required"
63724583,"3",0,"Booking Required"
63793087,"2",0,"Booking Required"
63782464,"1",0,"Booking Required"
63784851,"1",0,"Booking Required"
63670094,"1",0,"Booking Required"
63822519,"1",0,"Booking Required"
63822620,"1",0,"Booking Required"
63857049,"1",0,"Booked"
63857212,"0",1,"Attended"
63863997,"0",0,"Booking Required"
63753418,"1",0,"Booking Required"
63811896,"1",0,"Booking Required"
59032656,"1",1,"Attended"
63875302,"1",1,"Attended"
63895984,"0",0,"Booking Required"
63849851,"0",1,"Attended"
63888653,"0",0,"Booked"
61911772,"1",1,"Attended"
63946511,"1",0,"Booking Required"
63946512,"2",0,"Booking Required"
57785962,"0",0,"Booking Required"
63056829,"2",0,"Booking Required"
63977600,"1",0,"Booking Required"
63971790,"1",2,"Attended"
58872051,"2",1,"Attended"
63977923,"1",0,"Booking Required"
63997745,"1",1,"Attended"
64015512,"1",0,"Booking Required"
64015511,"0",0,"Booking Required"
64062532,"1",0,"Booking Required"
64077352,"1",0,"Booking Required"
64031289,"1",0,"Booking Required"
64062200,"1",1,"Attended"
63975618,"2",1,"Attended"
64141621,"0",0,"Booked"
57940321,"1",0,"Booking Required"
64175400,"1",0,"Booking Required"
64209109,"0",0,"Booking Required"
64244452,"1",0,"Booking Required"
61089985,"2",0,"Booking Required"
64249285,"0",0,"Booking Required"
60272333,"0",0,"Booking Required"
64276101,"2",0,"Booking Required"
64285760,"0",0,"Booking Required"
64343397,"1",0,"Booking Required"
64351360,"2",0,"Booking Required"
64355638,"1",0,"Booking Required"
62099706,"3",0,"Booking Required"
64370563,"0",0,"Booking Required"
60603425,"0",0,"Booking Required"
64406971,"2",0,"Booking Required"
64385114,"0",0,"Booking Required"
64418889,"0",0,"Booking Required"
64429829,"1",0,"Booking Required"
