# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-amrsafwat | Generated: 2026-09-26 14:10

=== 1. SOP PENDING TASKS (17) ===
Student_ID,Task_Name,Expiration_Time
63439591,"Round 3 Habit Cultivation (1st Unit Assessment)",20260926 18:55:00
59280591,"SS:Service warning - absence",20260927 18:55:00
59280591,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
62794618,"SS:Service warning - absence",20260927 18:55:00
62804474,"SS:Service warning - absence",20260927 18:55:00
64167392,"Round 3 Habit Cultivation (1st Unit Assessment)",20260927 18:55:00
58450093,"Round 1  Awareness building (First call)",20260928 18:55:00
60123119,"SS:Service warning - absence",20260928 18:55:00
63003008,"SS:Service warning - absence",20260928 18:55:00
64134954,"Round 3 Habit Cultivation (1st Unit Assessment)",20260928 18:55:00
64179841,"English Club Booking",20260928 18:55:00
64259353,"English Club Booking",20260928 18:55:00
64259356,"English Club Booking",20260928 18:55:00
64259411,"English Club Booking",20260928 18:55:00
63239722,"English Club Booking",20260929 18:55:00
63439591,"English Club Booking",20260929 18:55:00
64167392,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (72) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
57709419,"M3+ Pool",0,"UNFIXED BINDING"
58174187,"M3+ Pool",0,"UNFIXED BINDING"
58253142,"M3+ Pool",0,"UNFIXED BINDING"
58356471,"M3+ Pool",0,"UNFIXED BINDING"
58374386,"M3+ Pool",0,"UNFIXED BINDING"
58450093,"M0 Pool",0,"CRITICAL (0 Classes)"
58522905,"M3+ Pool",0,"UNFIXED BINDING"
58553322,"M3+ Pool",0,"UNFIXED BINDING"
58637491,"M3+ Pool",0,"UNFIXED BINDING"
58970016,"M3+ Pool",0,"UNFIXED BINDING"
59112689,"M3+ Pool",0,"UNFIXED BINDING"
59197885,"M3+ Pool",0,"UNFIXED BINDING"
59218891,"M3+ Pool",0,"UNFIXED BINDING"
59404094,"M3+ Pool",0,"UNFIXED BINDING"
59427426,"M3+ Pool",0,"UNFIXED BINDING"
59463562,"M3+ Pool",0,"UNFIXED BINDING"
59514548,"M3+ Pool",0,"UNFIXED BINDING"
59630907,"M3+ Pool",0,"UNFIXED BINDING"
59673420,"M3+ Pool",0,"UNFIXED BINDING"
59743184,"M3+ Pool",0,"UNFIXED BINDING"
59743557,"M3+ Pool",0,"UNFIXED BINDING"
59806149,"M3+ Pool",0,"UNFIXED BINDING"
59899728,"M3+ Pool",0,"UNFIXED BINDING"
59980539,"M3+ Pool",0,"UNFIXED BINDING"
60129545,"M3+ Pool",0,"UNFIXED BINDING"
60138650,"M3+ Pool",0,"UNFIXED BINDING"
60230572,"M3+ Pool",0,"UNFIXED BINDING"
60338352,"M3+ Pool",0,"UNFIXED BINDING"
60427058,"M3+ Pool",0,"UNFIXED BINDING"
60431356,"M3+ Pool",0,"UNFIXED BINDING"
60433387,"M3+ Pool",0,"UNFIXED BINDING"
60515799,"M3+ Pool",0,"UNFIXED BINDING"
60552114,"M3+ Pool",0,"UNFIXED BINDING"
60581443,"M3+ Pool",0,"UNFIXED BINDING"
60711852,"M2 Pool",0,"MEDIUM BINDING"
60725922,"M3+ Pool",0,"UNFIXED BINDING"
60804026,"M3+ Pool",0,"UNFIXED BINDING"
60926256,"M3+ Pool",0,"UNFIXED BINDING"
61037248,"M3+ Pool",0,"UNFIXED BINDING"
61078248,"M3+ Pool",0,"UNFIXED BINDING"
61261410,"M3+ Pool",0,"UNFIXED BINDING"
61384121,"M3+ Pool",0,"UNFIXED BINDING"
61762646,"M3+ Pool",0,"UNFIXED BINDING"
61866459,"M3+ Pool",0,"UNFIXED BINDING"
62037972,"M3+ Pool",0,"UNFIXED BINDING"
62045627,"M3+ Pool",0,"UNFIXED BINDING"
62073169,"M3+ Pool",0,"UNFIXED BINDING"
62202773,"M3+ Pool",0,"UNFIXED BINDING"
62321855,"M3+ Pool",0,"UNFIXED BINDING"
62404011,"M3+ Pool",0,"UNFIXED BINDING"
62431139,"M3+ Pool",0,"UNFIXED BINDING"
62433116,"M3+ Pool",0,"UNFIXED BINDING"
62512594,"M3+ Pool",0,"UNFIXED BINDING"
62553959,"M3+ Pool",0,"UNFIXED BINDING"
62582171,"M3+ Pool",0,"UNFIXED BINDING"
62606298,"M3+ Pool",0,"UNFIXED BINDING"
62869744,"M3+ Pool",0,"UNFIXED BINDING"
62894807,"M3+ Pool",0,"UNFIXED BINDING"
62896505,"M3+ Pool",0,"UNFIXED BINDING"
62938197,"M2 Pool",0,"MEDIUM BINDING"
63046379,"M3+ Pool",0,"UNFIXED BINDING"
63078108,"M3+ Pool",0,"UNFIXED BINDING"
63109854,"M3+ Pool",0,"UNFIXED BINDING"
63112301,"M3+ Pool",0,"UNFIXED BINDING"
63146736,"M3+ Pool",0,"UNFIXED BINDING"
63162117,"M3+ Pool",0,"UNFIXED BINDING"
63934709,"M1 Pool",0,"HIGH BINDING"
63936026,"M1 Pool",0,"HIGH BINDING"
64007794,"M1 Pool",0,"HIGH BINDING"
64122258,"M1 Pool",0,"HIGH BINDING"
64134954,"M1 Pool",0,"HIGH BINDING"
64249103,"M0 Pool",0,"CRITICAL (0 Classes)"

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (285) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action
58253142,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59083621,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59514548,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59687173,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59743184,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59743557,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59806149,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59899728,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60427058,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60431356,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60552114,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61042085,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61071539,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61078248,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61078348,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61261410,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61762646,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61857814,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61866459,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61993227,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62045627,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62202773,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62456486,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62485482,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62491432,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62520955,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62527362,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62582171,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62606298,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
64007794,"M1 Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
58622914,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
60444784,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
61037248,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62062855,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62344325,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62512594,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62627870,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
63584078,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62620704,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
62869744,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
62894807,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
58637491,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
58742600,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
59112689,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
60581443,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
60634731,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
62620467,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
58219377,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
58457327,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
58822771,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
60219237,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
60959988,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
61977327,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
62368678,"M2 Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
62505283,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
63035917,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
63112301,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
63213391,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
58510788,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
58664726,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
58695668,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
59750272,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
60151460,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
60711852,"M2 Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
61384121,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
61968900,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
61973943,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
62433116,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
63035084,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
63046379,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
63239722,"M3+ Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
63772973,"M2 Pool",5,"📅 Mid CC — Book 3 classes to hit >=8% tier"
58556871,"M3+ Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
59066297,"M3+ Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
59218891,"M3+ Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
59685375,"M2 Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
60138650,"M3+ Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
63236629,"M3+ Pool",6,"📅 Mid CC — Book 2 classes to hit >=8% tier"
58562134,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
58781356,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
59035740,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
59051305,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
59463562,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
59578653,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
59786493,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
60183451,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
60347747,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
60725922,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
62163665,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
62310826,"M2 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
62366953,"M2 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
62811033,"M1 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
63162117,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
63387936,"M3+ Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
63701039,"M2 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
64134954,"M1 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
64179841,"M1 Pool",7,"📅 Mid CC — Book 1 classes to hit >=8% tier"
58356471,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
58370337,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
58374386,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
58740513,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
60129545,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
60166887,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
60579036,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
60926256,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
61650702,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
61682071,"M3+ Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
61838572,"M1 Pool",8,"🎯 Good CC — Book 4 classes to hit >=12% tier"
