# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-ehabzaky01 | Generated: 2026-09-26 15:41

=== 1. SOP PENDING TASKS (17) ===
Student_ID,Task_Name,Expiration_Time
61079330,"SS:Service warning - absence",20260926 18:55:00
60202617,"SS:Service warning - absence",20260927 18:55:00
60992155,"SS:Service warning - absence",20260927 18:55:00
64100882,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
61261788,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63207123,"SS:Service warning - absence",20260928 18:55:00
63682352,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63713707,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63863286,"SS:Service warning - absence",20260928 18:55:00
64044191,"SS:Service warning - absence",20260928 18:55:00
64431542,"Round 1  Awareness building (First call)",20260928 18:55:00
64269720,"English Club Booking",20260929 18:55:00
64275695,"English Club Booking",20260929 18:55:00
64290907,"English Club Booking",20260929 18:55:00
62787907,"SS：Service warning - class interruption",20260930 18:59:59
60327199,"SS：Service warning - class interruption",20260930 23:59:59
63638104,"Round 5 Learning Path Planning-Upgrade outsidepool",20260930 23:59:59

=== 2. UNFIXED TEACHER BINDING LEADS (45) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
58579758,"M3+ Pool",0,"UNFIXED BINDING"
58790313,"M3+ Pool",0,"UNFIXED BINDING"
58958253,"M3+ Pool",0,"UNFIXED BINDING"
58963032,"M3+ Pool",0,"UNFIXED BINDING"
59341125,"M3+ Pool",0,"UNFIXED BINDING"
59579268,"M3+ Pool",0,"UNFIXED BINDING"
60087898,"M3+ Pool",0,"UNFIXED BINDING"
60131952,"M2 Pool",0,"MEDIUM BINDING"
60327199,"M3+ Pool",0,"UNFIXED BINDING"
60603646,"M3+ Pool",0,"UNFIXED BINDING"
60676559,"M3+ Pool",0,"UNFIXED BINDING"
60709868,"M3+ Pool",0,"UNFIXED BINDING"
60712068,"M3+ Pool",0,"UNFIXED BINDING"
60737352,"M3+ Pool",0,"UNFIXED BINDING"
61010118,"M3+ Pool",0,"UNFIXED BINDING"
61052542,"M3+ Pool",0,"UNFIXED BINDING"
61086267,"M3+ Pool",0,"UNFIXED BINDING"
61394847,"M3+ Pool",0,"UNFIXED BINDING"
61408491,"M3+ Pool",0,"UNFIXED BINDING"
61557782,"M3+ Pool",0,"UNFIXED BINDING"
61599865,"M3+ Pool",0,"UNFIXED BINDING"
61847031,"M3+ Pool",0,"UNFIXED BINDING"
61923081,"M3+ Pool",0,"UNFIXED BINDING"
62017039,"M3+ Pool",0,"UNFIXED BINDING"
62017108,"M3+ Pool",0,"UNFIXED BINDING"
62148689,"M3+ Pool",0,"UNFIXED BINDING"
62159752,"M3+ Pool",0,"UNFIXED BINDING"
62362902,"M3+ Pool",0,"UNFIXED BINDING"
62491936,"M3+ Pool",0,"UNFIXED BINDING"
62581342,"M3+ Pool",0,"UNFIXED BINDING"
62712931,"M3+ Pool",0,"UNFIXED BINDING"
62870595,"M3+ Pool",0,"UNFIXED BINDING"
62959233,"M3+ Pool",0,"UNFIXED BINDING"
63162939,"M3+ Pool",0,"UNFIXED BINDING"
63389062,"M1 Pool",0,"HIGH BINDING"
63438813,"M3+ Pool",0,"UNFIXED BINDING"
63835952,"M0 Pool",0,"CRITICAL (0 Classes)"
63849164,"M2 Pool",0,"MEDIUM BINDING"
63867656,"M1 Pool",0,"HIGH BINDING"
63968028,"M1 Pool",0,"HIGH BINDING"
64044191,"M1 Pool",0,"HIGH BINDING"
64113407,"M1 Pool",0,"HIGH BINDING"
64191206,"M0 Pool",0,"CRITICAL (0 Classes)"
64350537,"M0 Pool",0,"CRITICAL (0 Classes)"
64431542,"M0 Pool",0,"CRITICAL (0 Classes)"

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (236) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action
57933235,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
