# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-ibrahimismaiel | Generated: 2026-09-26 12:53

=== 1. SOP PENDING TASKS (16) ===
Student_ID,Task_Name,Expiration_Time
60208509,"SS:Service warning - absence",20260927 18:55:00
61944052,"SS:Service warning - absence",20260927 18:55:00
61944104,"SS:Service warning - absence",20260927 18:55:00
62392431,"SS:Service warning - absence",20260927 18:55:00
62514355,"SS:Service warning - absence",20260927 18:55:00
62711040,"SS:Service warning - absence",20260927 18:55:00
58643987,"SS:Service warning - absence",20260928 18:55:00
61476731,"SS:Service warning - absence",20260928 18:55:00
61480934,"SS:Service warning - absence",20260928 18:55:00
63000685,"Round 6 Premium Service(Outside Renewal Pool)",20260928 18:55:00
63500829,"SS:Service warning - absence",20260928 18:55:00
63522159,"English Club Booking",20260928 18:55:00
63601904,"SS:Service warning - absence",20260928 18:55:00
63773624,"SS:Service warning - absence",20260928 18:55:00
62916400,"English Club Booking",20260929 18:55:00
63390601,"Round 6 Premium Service(Outside Renewal Pool)",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action

=== 4. ENGLISH CLUB ACTIONABLE LEADS (113) ===
Student_ID,Level,Completed_Classes,Booking_Status
63109255,"1",1,"Attended"
58519033,"1",1,"Attended"
63204135,"1",0,"Booked"
63217063,"1",0,"Booked"
63155646,"0",0,"Booked"
63202685,"2",1,"Attended"
63212081,"2",0,"Booked"
62971892,"1",0,"Booked"
63390601,"2",0,"Booking Required"
63395838,"0",0,"Booking Required"
59797661,"0",1,"Attended"
63445740,"1",1,"Attended"
60675749,"1",0,"Booked"
63466033,"1",0,"Booking Required"
63475670,"3",0,"Booked"
62609267,"1",2,"Attended"
63464090,"2",0,"Booked"
63379640,"1",0,"Booking Required"
61943086,"1",0,"Booking Required"
63507740,"1",0,"Booked"
59510090,"3",0,"Booking Required"
63522159,"0",0,"Booking Required"
63499498,"1",0,"Booking Required"
63500057,"1",0,"Booking Required"
58704783,"1",0,"Booked"
63500829,"2",1,"Attended"
63531421,"3",1,"Attended"
63559893,"2",0,"Booking Required"
59323713,"1",0,"Booking Required"
63532632,"1",0,"Booked"
63531695,"1",0,"Booking Required"
60853096,"1",0,"Booked"
63580262,"0",0,"Booking Required"
63071514,"2",1,"Attended"
60678355,"3",1,"Attended"
62724066,"3",0,"Booking Required"
63522137,"2",1,"Attended"
63572084,"2",0,"Booking Required"
63568743,"0",0,"Booked"
63601904,"1",0,"Booking Required"
63638467,"1",0,"Booking Required"
63615767,"3",1,"Attended"
63616146,"2",1,"Attended"
59031891,"3",0,"Booking Required"
62369437,"2",0,"Booked"
63652616,"1",1,"Attended"
63661803,"1",1,"Attended"
59369816,"2",0,"Booking Required"
58367269,"1",0,"Booking Required"
63639867,"3",0,"Booked"
63682785,"3",0,"Booking Required"
63673002,"3",0,"Booking Required"
63711578,"2",0,"Booking Required"
63712877,"0",1,"Attended"
63691919,"1",0,"Booking Required"
62865141,"2",0,"Booked"
58206801,"2",1,"Attended"
62272582,"0",1,"Attended"
63756157,"2",1,"Attended"
63755890,"2",1,"Attended"
63783804,"1",0,"Booking Required"
59137683,"1",0,"Booked"
62874196,"0",0,"Booked"
63774509,"1",1,"Attended"
63857181,"1",0,"Booking Required"
63830991,"0",0,"Booking Required"
63878318,"0",0,"Booking Required"
63889531,"3",0,"Booking Required"
63914557,"3",0,"Booking Required"
60321306,"0",0,"Booking Required"
58907377,"2",0,"Booking Required"
63679524,"3",1,"Attended"
63969673,"0",1,"Attended"
63773624,"1",1,"Attended"
62963730,"3",0,"Booking Required"
63987423,"0",1,"Attended"
59678817,"1",0,"Booking Required"
63236524,"1",0,"Booking Required"
64006558,"0",0,"Booking Required"
59110151,"1",0,"Booked"
61091856,"2",0,"Booking Required"
64052295,"1",0,"Booking Required"
59217966,"0",0,"Booking Required"
64034894,"3",0,"Booked"
64057350,"1",0,"Booked"
64079488,"0",0,"Booked"
64092603,"2",1,"Attended"
64124294,"2",0,"Booking Required"
59792967,"1",0,"Booking Required"
64069000,"2",0,"Booking Required"
62916400,"2",0,"Booking Required"
64097184,"2",0,"Booking Required"
64103704,"1",1,"Attended"
63976353,"3",0,"Booking Required"
63988309,"3",0,"Booking Required"
64111610,"2",1,"Attended"
64166734,"1",0,"Booking Required"
64179960,"2",0,"Booking Required"
59447319,"0",0,"Booking Required"
64058785,"1",0,"Booking Required"
64202439,"2",0,"Booking Required"
58852059,"1",0,"Booking Required"
58963811,"3",0,"Booking Required"
64190241,"2",0,"Booking Required"
58954665,"1",0,"Booking Required"
64238521,"1",0,"Booking Required"
64313711,"3",0,"Booking Required"
64258469,"1",0,"Booking Required"
61541619,"2",0,"Booking Required"
64373988,"0",0,"Booking Required"
59003788,"0",0,"Booking Required"
58835674,"0",0,"Booking Required"
62513316,"1",0,"Booking Required"
