# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-mahmoudkhamis | Generated: 2026-09-26 13:10

=== 1. SOP PENDING TASKS (19) ===
Student_ID,Task_Name,Expiration_Time
62600095,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260926 18:55:00
63021589,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260926 18:55:00
63035220,"Round 6 Premium Service(Expiring Renewal Insidepool )",20260926 18:55:00
59390183,"Round 1  Awareness building (First call)",20260927 18:55:00
61230404,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
63792121,"SS:Service warning - absence",20260927 18:55:00
60939361,"SS:Service warning - absence",20260928 18:55:00
61783011,"SS:Service warning - absence",20260928 18:55:00
62478520,"SS:Service warning - absence",20260928 18:55:00
62594782,"SS:Service warning - absence",20260928 18:55:00
62628560,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
62881028,"SS:Service warning - absence",20260928 18:55:00
63556897,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63602457,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63630333,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63792121,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63822354,"SS:Service warning - absence",20260928 18:55:00
64157881,"English Club Booking",20260929 18:55:00
64202795,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action

=== 4. ENGLISH CLUB ACTIONABLE LEADS (106) ===
Student_ID,Level,Completed_Classes,Booking_Status
63107211,"2",0,"Booking Required"
63119837,"2",0,"Booked"
63068393,"3",0,"Booked"
63147817,"1",0,"Booking Required"
63181031,"1",1,"Attended"
63225332,"0",1,"Attended"
61514239,"1",1,"Attended"
58617061,"1",0,"Booking Required"
63216516,"1",0,"Booking Required"
63265206,"1",0,"Booking Required"
63309626,"1",0,"Booked"
63309400,"2",0,"Booked"
59765021,"0",0,"Booking Required"
62595312,"1",0,"Booked"
63425289,"1",1,"Attended"
58752604,"1",1,"Attended"
63432882,"1",0,"Booked"
58808699,"2",0,"Booked"
63412378,"0",0,"Booking Required"
59231327,"1",0,"Booked"
63436748,"0",1,"Attended"
63466014,"3",0,"Booking Required"
63499717,"1",0,"Booking Required"
63510075,"1",0,"Booking Required"
62954800,"1",0,"Booking Required"
63558977,"2",0,"Booking Required"
63114523,"1",0,"Booking Required"
63572572,"1",1,"Attended"
63265846,"1",1,"Attended"
58141729,"0",1,"Attended"
58726628,"0",1,"Attended"
63539081,"0",0,"Booking Required"
63602457,"3",2,"Attended"
63630333,"3",0,"Booked"
59358241,"2",0,"Booked"
63556897,"1",1,"Attended"
63661133,"2",0,"Booked"
63639212,"3",1,"Attended"
63670750,"0",0,"Booking Required"
63681020,"0",1,"Attended"
59986243,"1",1,"Attended"
63672473,"0",1,"Attended"
63692582,"3",0,"Booking Required"
63682169,"0",1,"Attended"
63682349,"0",1,"Attended"
63649872,"3",0,"Booking Required"
63680986,"2",1,"Attended"
63732141,"0",0,"Booked"
63723530,"2",0,"Booked"
63708811,"3",1,"Attended"
62628560,"0",1,"Attended"
63765605,"0",0,"Booking Required"
60254388,"2",0,"Booking Required"
63803377,"3",1,"Attended"
63792121,"1",0,"Booked"
63822354,"1",0,"Booking Required"
63712577,"1",0,"Booking Required"
63735735,"1",0,"Booking Required"
63838778,"0",1,"Attended"
60901719,"3",0,"Booked"
63864149,"2",1,"Attended"
63829196,"0",0,"Booked"
63838953,"1",1,"Attended"
63838129,"2",1,"Attended"
63838942,"1",1,"Attended"
63884677,"2",0,"Booked"
63884854,"1",0,"Booking Required"
63803060,"3",0,"Booking Required"
63904509,"0",1,"Attended"
63827887,"3",0,"Booking Required"
63927894,"1",1,"Attended"
63783362,"1",0,"Booked"
63859081,"0",0,"Booking Required"
59604996,"1",1,"Attended"
63980171,"0",1,"Attended"
63911535,"3",1,"Attended"
60276790,"2",1,"Attended"
61432393,"3",0,"Booking Required"
64012334,"1",1,"Attended"
64050014,"1",0,"Booking Required"
62556182,"2",0,"Booking Required"
64034449,"1",0,"Booking Required"
64072727,"0",0,"Booking Required"
64115306,"1",0,"Booking Required"
60826872,"3",0,"Booking Required"
63529325,"1",0,"Booking Required"
58531809,"0",0,"Booking Required"
63529343,"1",0,"Booking Required"
60286556,"2",0,"Booking Required"
64150481,"1",0,"Booking Required"
64151114,"2",1,"Attended"
63034742,"2",0,"Booking Required"
64157881,"1",0,"Booking Required"
64175450,"2",0,"Booking Required"
64190795,"1",0,"Booking Required"
64202795,"3",0,"Booking Required"
64225112,"2",0,"Booking Required"
64240437,"1",0,"Booking Required"
64258687,"3",0,"Booking Required"
59195012,"1",0,"Booking Required"
64192279,"1",0,"Booking Required"
64208589,"0",0,"Booking Required"
64323065,"2",0,"Booking Required"
59614444,"2",0,"Booking Required"
60393843,"1",0,"Booking Required"
64430780,"2",0,"Booking Required"
