# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-negma | Generated: 2026-09-26 13:10

=== 1. SOP PENDING TASKS (9) ===
Student_ID,Task_Name,Expiration_Time
64259823,"Round 3 Habit Cultivation (1st Unit Assessment)",20260927 18:55:00
58846157,"SS:Service warning - absence",20260928 18:55:00
59891063,"SS:Service warning - absence",20260928 18:55:00
59973328,"SS:Service warning - absence",20260928 18:55:00
64062042,"SS:Service warning - absence",20260928 18:55:00
64157520,"SS:Service warning - absence",20260928 18:55:00
64181440,"English Club Booking",20260929 18:55:00
64259823,"English Club Booking",20260929 18:55:00
64277741,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (0) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action

=== 4. ENGLISH CLUB ACTIONABLE LEADS (113) ===
Student_ID,Level,Completed_Classes,Booking_Status
63087526,"1",0,"Booked"
63015340,"3",1,"Attended"
62908857,"1",0,"Booked"
58644253,"1",1,"Attended"
60184451,"0",1,"Attended"
61813029,"0",0,"Booked"
58413231,"2",0,"Booking Required"
63241480,"1",0,"Booking Required"
62071195,"3",1,"Attended"
60539845,"1",0,"Booking Required"
60802611,"1",0,"Booking Required"
63387981,"3",1,"Attended"
61850853,"2",0,"Booking Required"
60501898,"2",0,"Booking Required"
60568135,"0",0,"Booking Required"
63489233,"0",0,"Booked"
63495843,"0",0,"Booking Required"
63443217,"2",0,"Booking Required"
63473919,"0",0,"Booked"
63523117,"3",0,"Booking Required"
63569640,"0",0,"Booked"
63486510,"3",0,"Booking Required"
63573528,"3",0,"Booked"
60298117,"3",2,"Attended"
63506521,"0",1,"Attended"
58769809,"1",1,"Attended"
63390140,"1",1,"Attended"
63436253,"0",1,"Attended"
63617180,"1",0,"Booking Required"
63618863,"3",1,"Attended"
62960003,"1",2,"Attended"
63619122,"1",0,"Booking Required"
60401820,"2",2,"Attended"
61566872,"0",0,"Booking Required"
63617245,"3",0,"Booking Required"
63652917,"3",0,"Booked"
63662219,"1",0,"Booking Required"
63661884,"3",0,"Booking Required"
63662298,"3",0,"Booked"
63683296,"1",0,"Booking Required"
63619617,"3",1,"Attended"
63701689,"1",0,"Booking Required"
58846157,"3",0,"Booking Required"
63720144,"0",0,"Booking Required"
63730842,"0",0,"Booked"
60547370,"3",0,"Booking Required"
62034784,"1",0,"Booking Required"
63763270,"1",0,"Booking Required"
63635901,"3",1,"Attended"
63734720,"3",0,"Booked"
58393189,"2",0,"Booking Required"
63735670,"1",1,"Attended"
63831853,"1",0,"Booked"
63821044,"3",0,"Booking Required"
61204345,"1",0,"Booked"
63799740,"2",0,"Booked"
60737266,"0",0,"Booked"
60692153,"1",0,"Booking Required"
63811089,"2",0,"Booking Required"
63824479,"0",1,"Attended"
63871594,"2",1,"Attended"
59186996,"1",0,"Booked"
63879127,"0",1,"Attended"
61581130,"2",0,"Booking Required"
63878108,"0",1,"Attended"
63877879,"2",0,"Booking Required"
63878111,"2",1,"Attended"
63887238,"1",2,"Attended"
58857798,"3",0,"Booked"
58739262,"1",1,"Attended"
63916027,"0",1,"Attended"
63935986,"3",1,"Attended"
63903331,"3",0,"Booked"
63946961,"1",0,"Booking Required"
63913249,"1",0,"Booking Required"
63977089,"3",1,"Attended"
62807154,"3",0,"Booked"
63997719,"2",0,"Booked"
64059123,"1",0,"Booking Required"
63998840,"3",0,"Booking Required"
64062042,"2",0,"Booking Required"
64113469,"2",0,"Booked"
64066115,"3",1,"Attended"
64070144,"3",1,"Attended"
64105028,"1",0,"Booking Required"
64095288,"3",0,"Booking Required"
64115498,"3",0,"Booking Required"
64069680,"1",0,"Booking Required"
64117235,"0",0,"Booking Required"
64142999,"2",0,"Booked"
64134862,"0",0,"Booking Required"
64159745,"0",1,"Attended"
64159762,"1",0,"Booking Required"
64157520,"1",0,"Booking Required"
64159936,"0",0,"Booking Required"
64181440,"1",0,"Booking Required"
64070142,"0",1,"Attended"
58234347,"3",0,"Booking Required"
64197764,"1",0,"Booking Required"
64131090,"0",0,"Booking Required"
61480632,"0",0,"Booking Required"
63101471,"3",0,"Booking Required"
64111798,"0",0,"Booking Required"
60150008,"1",0,"Booking Required"
60147951,"2",0,"Booking Required"
61179217,"0",0,"Booking Required"
64259823,"0",0,"Booking Required"
64276121,"0",0,"Booking Required"
64248432,"3",0,"Booking Required"
59633007,"2",0,"Booking Required"
64277741,"1",0,"Booking Required"
64313065,"0",0,"Booking Required"
61521036,"0",0,"Booking Required"
