# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-samira01 | Generated: 2026-09-26 18:10

=== 1. SOP PENDING TASKS (11) ===
Student_ID,Task_Name,Expiration_Time
60660292,"SS:Service warning - absence",20260927 18:55:00
61654765,"SS:Service warning - absence",20260927 18:55:00
62815934,"SS:Service warning - absence",20260927 18:55:00
63584000,"SS:Service warning - absence",20260927 18:55:00
63719977,"SS:Service warning - absence",20260927 18:55:00
64440002,"Round 1  Awareness building (First call)",20260927 18:55:00
59884302,"SS:Service warning - absence",20260928 18:55:00
63632861,"SS:Service warning - absence",20260928 18:55:00
64059932,"SS:Service warning - absence",20260928 18:55:00
59497298,"English Club Booking",20260929 18:55:00
63766927,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (63) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
57927902,"M3+ Pool",0,"UNFIXED BINDING"
58237522,"M3+ Pool",0,"UNFIXED BINDING"
58313206,"M3+ Pool",0,"UNFIXED BINDING"
58357780,"M2 Pool",0,"MEDIUM BINDING"
58476812,"M3+ Pool",0,"UNFIXED BINDING"
58621983,"M3+ Pool",0,"UNFIXED BINDING"
58814692,"M3+ Pool",0,"UNFIXED BINDING"
58814728,"M3+ Pool",0,"UNFIXED BINDING"
59007564,"M3+ Pool",0,"UNFIXED BINDING"
59255040,"M3+ Pool",0,"UNFIXED BINDING"
59522660,"M3+ Pool",0,"UNFIXED BINDING"
59818242,"M3+ Pool",0,"UNFIXED BINDING"
59864982,"M3+ Pool",0,"UNFIXED BINDING"
60005233,"M3+ Pool",0,"UNFIXED BINDING"
60133020,"M3+ Pool",0,"UNFIXED BINDING"
60309816,"M3+ Pool",0,"UNFIXED BINDING"
60320488,"M3+ Pool",0,"UNFIXED BINDING"
60425992,"M3+ Pool",0,"UNFIXED BINDING"
60485185,"M3+ Pool",0,"UNFIXED BINDING"
60513218,"M3+ Pool",0,"UNFIXED BINDING"
60517230,"M3+ Pool",0,"UNFIXED BINDING"
60553880,"M3+ Pool",0,"UNFIXED BINDING"
60605437,"M3+ Pool",0,"UNFIXED BINDING"
60811494,"M3+ Pool",0,"UNFIXED BINDING"
60968948,"M3+ Pool",0,"UNFIXED BINDING"
61412618,"M3+ Pool",0,"UNFIXED BINDING"
61512675,"M3+ Pool",0,"UNFIXED BINDING"
61667351,"M3+ Pool",0,"UNFIXED BINDING"
61747952,"M3+ Pool",0,"UNFIXED BINDING"
61821368,"M3+ Pool",0,"UNFIXED BINDING"
61903072,"M0 Pool",0,"CRITICAL (0 Classes)"
62094645,"M3+ Pool",0,"UNFIXED BINDING"
62132899,"M3+ Pool",0,"UNFIXED BINDING"
62256213,"M3+ Pool",0,"UNFIXED BINDING"
62338703,"M3+ Pool",0,"UNFIXED BINDING"
62392199,"M3+ Pool",0,"UNFIXED BINDING"
62505997,"M3+ Pool",0,"UNFIXED BINDING"
62540030,"M3+ Pool",0,"UNFIXED BINDING"
62609385,"M3+ Pool",0,"UNFIXED BINDING"
62668060,"M3+ Pool",0,"UNFIXED BINDING"
62683071,"M3+ Pool",0,"UNFIXED BINDING"
62701385,"M3+ Pool",0,"UNFIXED BINDING"
62779414,"M3+ Pool",0,"UNFIXED BINDING"
62788694,"M3+ Pool",0,"UNFIXED BINDING"
62790876,"M3+ Pool",0,"UNFIXED BINDING"
62817886,"M3+ Pool",0,"UNFIXED BINDING"
62832996,"M3+ Pool",0,"UNFIXED BINDING"
62871744,"M3+ Pool",0,"UNFIXED BINDING"
63059476,"M3+ Pool",0,"UNFIXED BINDING"
63059479,"M3+ Pool",0,"UNFIXED BINDING"
63135227,"M3+ Pool",0,"UNFIXED BINDING"
63155371,"M3+ Pool",0,"UNFIXED BINDING"
63156303,"M3+ Pool",0,"UNFIXED BINDING"
63415415,"M0 Pool",0,"CRITICAL (0 Classes)"
63481413,"M2 Pool",0,"MEDIUM BINDING"
63640909,"M2 Pool",0,"MEDIUM BINDING"
63709880,"M2 Pool",0,"MEDIUM BINDING"
63719977,"M2 Pool",0,"MEDIUM BINDING"
63730843,"M2 Pool",0,"MEDIUM BINDING"
63932910,"M1 Pool",0,"HIGH BINDING"
64349780,"M0 Pool",0,"CRITICAL (0 Classes)"
64380991,"M0 Pool",0,"CRITICAL (0 Classes)"
64440002,"M0 Pool",0,"CRITICAL (0 Classes)"

=== 3. ZERO-CLASS & CLASS CONSUMPTION RESCUE (253) ===
Student_ID,Pool_Cohort,Classes_Attended,Consumption_Action
58621983,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
59522660,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60005233,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60309816,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60320488,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60485185,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60536386,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60553880,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
60811494,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61062149,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
61572545,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62132899,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62392199,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62432536,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62617449,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62728395,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62779414,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62780515,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62790876,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62817886,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
62871744,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
63534996,"M3+ Pool",0,"🚨 Zero Consumption — Urgent 1st Class Booking"
58653943,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
58789375,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62073061,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62338703,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
62394825,"M3+ Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
63709880,"M2 Pool",1,"⚠️ Low CC — Book 3 classes to hit >=4% tier"
58357780,"M2 Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
58814728,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
59255040,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
59276259,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
59465538,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
60513218,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
60908625,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
60968948,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
61705238,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
62432782,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
62540030,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
63088549,"M3+ Pool",2,"⚠️ Low CC — Book 2 classes to hit >=4% tier"
61051814,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
61628567,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
62094645,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
62344308,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
62660169,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
62815934,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
63156303,"M3+ Pool",3,"⚠️ Low CC — Book 1 classes to hit >=4% tier"
58854943,"M2 Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
59008620,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
60133020,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
60562909,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
60612303,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
62779575,"M3+ Pool",4,"📅 Mid CC — Book 4 classes to hit >=8% tier"
