# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGLP-mohamed06 | Total High Potential: 169
Student ID,Classes Completed,Booked Unattended,Priority Score
63058549,20,0,40
63961952,19,4,34
61924857,18,4,32
63697401,18,4,32
63163518,17,4,30
63636528,17,5,29
61864495,16,3,29
61922375,16,2,30
63955491,16,4,28
60540732,15,4,26
60650356,15,5,25
61875874,15,3,27
61895826,15,3,27
61944715,15,4,26
63479850,15,4,26
63540846,15,4,26
57962078,14,4,24
59041885,14,4,24
60878864,14,4,24
61216239,14,4,24
61410343,14,0,28
61880711,14,4,24
61903097,14,3,25
61909432,14,4,24
63120286,14,4,24
63397811,14,4,24
63548001,14,3,25
63673145,14,2,26
63722447,14,4,24
63965181,14,5,23
58186111,13,4,22
61859701,13,4,22
61959401,13,3,23
62383654,13,4,22
63201607,13,4,22
63204215,13,4,22
63306704,13,4,22
63530154,13,3,23
63997697,13,3,23
58564908,12,4,20
59257481,12,3,21
59822821,12,4,20
61625968,12,0,24
61900878,12,3,21
61925485,12,4,20
61940854,12,0,24
61942381,12,4,20
61957090,12,0,24
61959583,12,2,22
62388070,12,3,21
63370165,12,4,20
63497650,12,4,20
63627295,12,0,24
63700187,12,4,20
58112904,11,2,20
58785135,11,2,20
59067152,11,4,18
59718612,11,5,17
61335385,11,3,19
61664150,11,3,19
61842956,11,4,18
61891049,11,4,18
61891617,11,2,20
61894119,11,4,18
61912836,11,3,19
61926934,11,3,19
61941253,11,0,22
61956734,11,4,18
62186878,11,4,18
62280759,11,1,21
62401761,11,4,18
62465376,11,0,22
62521442,11,4,18
62535454,11,0,22
63670999,11,4,18
63838885,11,4,18
63886251,11,4,18
63967242,11,4,18
64160586,11,4,18
58274196,10,4,16
58676812,10,3,17
59018881,10,0,20
59257559,10,3,17
59984357,10,3,17
60223925,10,3,17
60713557,10,2,18
60717792,10,2,18
61762805,10,4,16
61831001,10,4,16
61842260,10,4,16
61940430,10,3,17
61950979,10,3,17
61957341,10,3,17
62385207,10,4,16
63637169,10,2,18
63647101,10,2,18
63711248,10,0,20
63783496,10,3,17
64102114,10,3,17
64102669,10,2,18
57813524,9,4,14
58355382,9,0,18
58417863,9,3,15
59888789,9,4,14
60652657,9,3,15
60704139,9,4,14
61837241,9,0,18
61847653,9,2,16
61893212,9,2,16
61893509,9,3,15
61905804,9,3,15
61911555,9,0,18
61954656,9,3,15
61956874,9,1,17
61957342,9,0,18
61959320,9,3,15
61961814,9,3,15
62540593,9,3,15
62576978,9,8,10
62843597,9,2,16
62850208,9,2,16
63094900,9,2,16
63095268,9,2,16
63273811,9,2,16
64150751,9,3,15
64150953,9,3,15
60654725,8,0,16
61050193,8,3,13
61835729,8,2,14
61879176,8,3,13
61889732,8,1,15
61917599,8,4,12
62470304,8,3,13
62652534,8,3,13
64180345,8,2,14
58640202,7,0,14
59680006,7,0,14
61899245,7,2,12
61922287,7,4,10
61923413,7,3,11
61939568,7,4,10
61949157,7,3,11
62337354,7,2,12
62657833,7,3,11
63198804,7,1,13
63426901,7,3,11
63970339,7,4,10
61866314,6,5,7
62491741,6,2,10
62675771,6,0,12
63203514,6,0,12
63606009,6,1,11
63647131,6,0,12
63658673,6,0,12
63735125,6,4,8
60122480,5,0,10
62627344,5,0,10
62682787,5,0,10
59982593,4,0,8
61850384,4,4,4
61919234,4,4,4
61953046,4,3,5
61956178,4,4,4
62556539,4,0,8
63614200,4,0,8
61948879,3,4,2
62215851,3,0,6
63802832,3,3,3
62623201,2,0,4
