# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGLP-shahdmahmoud | Total High Potential: 93
Student ID,Classes Completed,Booked Unattended,Priority Score
59681471,22,4,40
59041876,21,4,38
63953682,21,4,38
63685013,20,6,34
63692837,18,6,30
63938976,18,6,30
60109687,17,2,32
61594522,17,5,29
62861741,16,5,27
63536526,15,5,25
63607510,15,5,25
63649757,15,5,25
63663715,15,4,26
62463588,14,5,23
62507074,14,4,24
62809588,14,4,24
63628893,14,0,28
63762651,14,4,24
60431518,13,0,26
61646398,13,4,22
62623166,13,4,22
63823161,13,1,25
63896502,13,4,22
64021406,13,0,26
58220363,12,4,20
58515614,12,4,20
59572008,12,0,24
60062317,12,4,20
62416809,12,4,20
63322534,12,4,20
63517859,12,3,21
63858135,12,0,24
63994882,12,0,24
60400215,11,4,18
61007088,11,3,19
62057833,11,2,20
62713500,11,4,18
62840868,11,4,18
63456312,11,0,22
63547440,11,3,19
63583253,11,4,18
63605293,11,1,21
63662110,11,4,18
63668819,11,2,20
63833641,11,1,21
63917749,11,3,19
64050289,11,1,21
58582335,10,3,17
59074857,10,5,15
62384217,10,4,16
62511667,10,3,17
63001885,10,4,16
63670100,10,3,17
63681917,10,3,17
63839412,10,2,18
63887119,10,4,16
64132197,10,3,17
64143387,10,3,17
60250311,9,4,14
62535678,9,3,15
62636295,9,4,14
63234069,9,1,17
63265839,9,1,17
63490589,9,3,15
63721532,9,4,14
63810023,9,3,15
64110170,9,3,15
64160520,9,2,16
60166591,8,3,13
63822259,8,1,15
58455517,7,0,14
62365049,7,3,11
62419313,7,2,12
63683808,7,0,14
63774816,6,2,10
63820664,6,3,9
63894480,6,3,9
59950073,5,0,10
62032894,5,0,10
63709794,5,1,9
64151335,5,3,7
58808253,4,2,6
61517173,4,0,8
63206777,4,0,8
63661372,4,3,5
63711310,4,5,3
61967723,3,0,6
63684063,3,0,6
64068251,3,0,6
64131632,3,0,6
59364080,2,0,4
61326536,2,0,4
63500408,2,3,1
