# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-abdelrahmannasef | Total High Potential: 195
Student ID,Classes Completed,Booked Unattended,Priority Score
58483208,20,2,38
59721749,19,5,33
63928711,18,6,30
61828339,17,5,29
63226655,17,4,30
63928442,17,6,28
58247882,16,5,27
63213804,16,5,27
58680945,15,5,25
61566261,15,2,28
63198701,15,5,25
58788005,14,3,25
59566870,14,5,23
60847078,14,5,23
60908447,14,8,20
61068377,14,0,28
61488860,14,4,24
61875687,14,2,26
62073679,14,4,24
62235446,14,4,24
62919573,14,4,24
63019221,14,2,26
63024861,14,4,24
63123080,14,4,24
63399017,14,4,24
63562022,14,4,24
63617525,14,3,25
63866511,14,1,27
63919395,14,4,24
63919923,14,4,24
57858820,13,5,21
58340155,13,0,26
58367617,13,4,22
59153035,13,3,23
59821445,13,4,22
60465073,13,3,23
60710495,13,6,20
60841323,13,4,22
61413839,13,6,20
61674458,13,5,21
62106060,13,4,22
62106312,13,4,22
62266845,13,3,23
62717759,13,4,22
62906569,13,4,22
63203406,13,4,22
63670643,13,4,22
63673529,13,4,22
63963409,13,4,22
64087293,13,2,24
64087697,13,2,24
58672965,12,4,20
58855318,12,4,20
58956028,12,3,21
59398696,12,4,20
59500272,12,2,22
60328137,12,4,20
60907983,12,7,17
60907985,12,8,16
61012273,12,1,23
61138934,12,4,20
61324797,12,4,20
61450150,12,4,20
61826886,12,3,21
62091252,12,4,20
62717961,12,4,20
62801800,12,5,19
62837160,12,0,24
62839343,12,0,24
62938067,12,4,20
63510327,12,4,20
63617509,12,2,22
63657841,12,2,22
58777971,11,3,19
60850738,11,2,20
61160051,11,1,21
61178058,11,1,21
61178064,11,1,21
61230031,11,4,18
61472439,11,2,20
62423804,11,3,19
62717361,11,4,18
62823540,11,0,22
63485635,11,2,20
63651649,11,5,17
63799176,11,2,20
63989894,11,2,20
58097002,10,4,16
58293308,10,4,16
58313600,10,4,16
59080549,10,3,17
59623929,10,2,18
60135372,10,0,20
60305849,10,1,19
60345381,10,4,16
60709453,10,2,18
61288863,10,3,17
62051786,10,2,18
62376407,10,3,17
62456456,10,3,17
62463055,10,3,17
62890137,10,2,18
62902294,10,2,18
63164484,10,2,18
63446598,10,5,15
63485592,10,2,18
63508592,10,4,16
63570455,10,4,16
63608038,10,0,20
63651432,10,4,16
63722199,10,2,18
63732129,10,5,15
63978979,10,4,16
59014087,9,0,18
59724446,9,0,18
61027834,9,2,16
61057241,9,3,15
61564303,9,4,14
62142442,9,4,14
62387859,9,3,15
62499657,9,2,16
63003778,9,2,16
63531953,9,3,15
63756449,9,4,14
63878394,9,2,16
63878585,9,2,16
64158186,9,4,14
64181054,9,3,15
58348113,8,4,12
58858209,8,4,12
58908469,8,3,13
59269204,8,4,12
59345785,8,4,12
60195582,8,5,11
60468913,8,3,13
60728788,8,2,14
61415682,8,5,11
61637923,8,0,16
63095173,8,1,15
63202438,8,4,12
63205477,8,0,16
63719982,8,2,14
63980408,8,4,12
64026066,8,0,16
64042581,8,0,16
58709356,7,3,11
59637130,7,4,10
59789863,7,3,11
60404247,7,2,12
61326920,7,5,9
61823872,7,3,11
62240684,7,1,13
62499896,7,0,14
62505624,7,0,14
62994079,7,4,10
63119378,7,4,10
63532125,7,3,11
63722545,7,2,12
58114465,6,6,6
58486308,6,5,7
58856237,6,4,8
59202463,6,0,12
59265472,6,3,9
59932656,6,0,12
60708625,6,3,9
61601902,6,0,12
62178177,6,3,9
62241245,6,1,11
62387328,6,3,9
63241405,6,6,6
63679507,6,0,12
62283851,5,2,8
62315160,5,3,7
63731475,5,0,10
64061011,5,0,10
62186520,4,0,8
62275678,4,4,4
62489530,4,4,4
62499838,4,3,5
63065668,4,1,7
63111860,4,0,8
63161445,4,2,6
63488481,4,0,8
58732829,3,0,6
59033210,3,2,4
60105228,3,3,3
60669029,3,0,6
61060913,3,0,6
62478921,3,4,2
63066026,3,5,1
63616070,3,0,6
63616328,3,0,6
62263419,2,2,2
62453515,2,0,4
62802087,2,0,4
