# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-abdelrhmanshehata | Total High Potential: 129
Student ID,Classes Completed,Booked Unattended,Priority Score
64067930,26,6,46
61338670,23,5,41
64003195,21,5,37
64032455,21,5,37
59115866,19,5,33
59132021,19,4,34
59054491,18,4,32
62827039,18,5,31
62838514,18,4,32
62864994,18,5,31
62970249,18,5,31
63508228,18,4,32
59541167,17,5,29
60180585,17,4,30
64158135,17,1,33
59312012,16,5,27
59412067,16,4,28
59429388,16,4,28
60474847,16,5,27
60958697,16,4,28
59016592,15,5,25
59362221,15,2,28
60749983,15,4,26
63952488,15,6,24
64092259,15,4,26
58218093,14,4,24
58255618,14,4,24
58854637,14,4,24
59237242,14,4,24
62817998,14,4,24
62894830,14,4,24
63086322,14,4,24
63137876,14,2,26
64035460,14,5,23
57841985,13,3,23
58034489,13,4,22
61800134,13,4,22
63163676,13,5,21
63196156,13,2,24
64148527,13,0,26
59216178,12,0,24
59628216,12,6,18
59977254,12,5,19
60111062,12,1,23
60472583,12,3,21
62186237,12,1,23
62812918,12,4,20
62866542,12,4,20
63424787,12,4,20
63711757,12,4,20
63868767,12,1,23
63887629,12,4,20
58506031,11,1,21
60873458,11,3,19
62823126,11,1,21
62832422,11,4,18
62843204,11,4,18
62855814,11,3,19
62859309,11,0,22
62862979,11,2,20
62864160,11,2,20
63232816,11,5,17
63466099,11,4,18
63875552,11,0,22
64132156,11,0,22
58499893,10,0,20
58571776,10,2,18
60372860,10,2,18
60669304,10,3,17
61833003,10,0,20
61848808,10,4,16
62834950,10,5,15
62851914,10,1,19
63306991,10,3,17
58445891,9,0,18
59038874,9,0,18
59443717,9,1,17
60444555,9,3,15
61663740,9,0,18
61810753,9,0,18
62560046,9,3,15
63227437,9,2,16
63813407,9,3,15
58531319,8,3,13
59395916,8,3,13
60112465,8,3,13
61718474,8,4,12
61809926,8,0,16
62171763,8,0,16
62812042,8,5,11
62819854,8,3,13
62840642,8,4,12
62848843,8,7,9
59169936,7,0,14
59350814,7,0,14
60760718,7,0,14
61124299,7,0,14
61756257,7,0,14
63433917,7,1,13
63868841,7,0,14
58361012,6,3,9
59088156,6,5,7
59766185,6,0,12
60463726,6,5,7
61196918,6,3,9
61798574,6,4,8
61871157,6,5,7
61888926,6,3,9
62863259,6,4,8
62944827,6,4,8
64176184,6,0,12
60437563,5,4,6
62843602,5,0,10
62861782,5,4,6
62871974,5,5,5
64033994,5,0,10
59276371,4,3,5
59284678,4,4,4
62824416,4,3,5
63151548,4,0,8
60442191,3,3,3
60614812,3,0,6
62869751,3,3,3
62960004,3,5,1
63164251,3,0,6
59402536,2,3,1
62802056,2,3,1
62815432,2,3,1
62864654,2,3,1
