# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-adhmgadallah | Total High Potential: 223
Student ID,Classes Completed,Booked Unattended,Priority Score
59758903,24,5,43
62867244,24,4,44
59266335,23,0,46
63670066,21,5,37
59064365,20,0,40
58249415,19,5,33
59276644,19,5,33
60171410,19,8,30
60687278,18,4,32
62209896,18,2,34
63225582,18,4,32
64092174,18,4,32
58424122,17,4,30
60224598,17,0,34
61065442,17,4,30
62210026,17,7,27
59436250,16,3,29
63235636,16,3,29
64051595,16,2,30
64053692,16,4,28
59233832,15,0,30
59473301,15,5,25
61097242,15,6,24
62668582,15,4,26
63786214,15,4,26
58660703,14,4,24
58882769,14,4,24
59567288,14,4,24
59567387,14,4,24
60169379,14,3,25
61088134,14,4,24
61305147,14,4,24
61383602,14,2,26
62018413,14,4,24
62253385,14,3,25
62347037,14,4,24
63035069,14,4,24
63035320,14,4,24
63087380,14,4,24
63087383,14,4,24
63793092,14,4,24
63885326,14,4,24
63911739,14,4,24
58335459,13,4,22
60791845,13,0,26
60993779,13,4,22
61039085,13,4,22
61572137,13,4,22
61773594,13,3,23
62163549,13,6,20
62187389,13,3,23
62247043,13,3,23
62712377,13,5,21
63162127,13,4,22
63445660,13,4,22
63940227,13,4,22
63969863,13,4,22
64058364,13,4,22
64093332,13,4,22
58566753,12,1,23
58587439,12,4,20
58913853,12,4,20
59205124,12,4,20
59333342,12,4,20
60659866,12,0,24
60660337,12,0,24
61031445,12,4,20
61098714,12,0,24
61160055,12,4,20
61666081,12,4,20
62345601,12,4,20
62484126,12,2,22
63462472,12,2,22
63595630,12,4,20
63602299,12,2,22
63604471,12,4,20
63774361,12,3,21
63774554,12,3,21
64087406,12,4,20
64151764,12,5,19
59435953,11,2,20
59895645,11,2,20
60308015,11,4,18
60646663,11,3,19
60998693,11,4,18
61079093,11,1,21
61079495,11,3,19
61100206,11,1,21
61425840,11,4,18
61755092,11,4,18
61922192,11,4,18
61982716,11,4,18
62106044,11,3,19
62139363,11,2,20
62368699,11,4,18
62476040,11,4,18
62717154,11,4,18
63487118,11,2,20
63570480,11,4,18
64061550,11,3,19
64130650,11,0,22
58231677,10,0,20
58299158,10,3,17
59037973,10,2,18
59309359,10,3,17
59433512,10,3,17
60270432,10,1,19
60349287,10,3,17
60629186,10,2,18
60681458,10,4,16
60967250,10,4,16
61099876,10,4,16
61145141,10,1,19
61726609,10,3,17
62224670,10,3,17
62224792,10,3,17
62225026,10,3,17
62249285,10,0,20
62255718,10,3,17
62257030,10,2,18
62287345,10,3,17
62705729,10,3,17
62835045,10,2,18
63467351,10,4,16
63574926,10,0,20
63683498,10,2,18
63878671,10,4,16
63937652,10,4,16
63970309,10,4,16
57838883,9,3,15
58311911,9,3,15
58705887,9,4,14
58973780,9,0,18
58984011,9,2,16
59671427,9,2,16
60417791,9,3,15
60425904,9,0,18
60852834,9,4,14
61092753,9,3,15
61505326,9,0,18
62018816,9,4,14
62064604,9,0,18
62349391,9,3,15
62831540,9,4,14
62857810,9,4,14
63038775,9,3,15
63541106,9,2,16
64017369,9,2,16
58660723,8,4,12
58814274,8,3,13
59425590,8,3,13
60407957,8,2,14
61091881,8,4,12
61097236,8,4,12
62113605,8,0,16
62144079,8,3,13
62433478,8,0,16
62437854,8,4,12
62789980,8,4,12
63702362,8,3,13
57908874,7,3,11
58229150,7,0,14
58594840,7,3,11
58863841,7,4,10
58930765,7,5,9
59407943,7,0,14
59426583,7,3,11
60219859,7,6,8
60788450,7,3,11
61691285,7,2,12
61972388,7,1,13
62233363,7,4,10
62274373,7,3,11
62329622,7,3,11
62367215,7,2,12
62575754,7,3,11
62865328,7,1,13
63039107,7,3,11
63199685,7,4,10
63504381,7,4,10
63813382,7,0,14
59499083,6,0,12
59513114,6,4,8
60395546,6,4,8
60443694,6,2,10
60465643,6,4,8
60993516,6,3,9
61429207,6,2,10
62187937,6,2,10
62538179,6,3,9
58352168,5,0,10
59003571,5,2,8
59300390,5,0,10
59584231,5,4,6
60437085,5,3,7
60437315,5,3,7
60994563,5,3,7
61001864,5,3,7
61088182,5,1,9
62492913,5,0,10
63400978,5,5,5
63541513,5,0,10
63693103,5,4,6
63831404,5,0,10
58834437,4,1,7
59079623,4,0,8
59461968,4,3,5
60725122,4,0,8
62360979,4,0,8
63724496,4,3,5
63925269,4,2,6
59509199,3,4,2
60765656,3,0,6
60766103,3,0,6
61097079,3,0,6
61211668,3,4,2
61580077,3,4,2
61938818,3,0,6
63757121,3,3,3
60818846,2,0,4
61389827,2,4,0
62043395,2,4,0
63756993,2,0,4
