# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-ahmedshoukry | Total High Potential: 255
Student ID,Classes Completed,Booked Unattended,Priority Score
58347148,26,0,52
63024434,21,4,38
63831279,21,4,38
63857212,21,5,37
63530811,20,6,34
63875302,19,4,34
59327162,18,3,33
61911772,18,3,33
61952623,18,4,32
63583069,18,4,32
63734706,18,4,32
63753418,18,5,31
58623045,17,8,26
64141651,17,4,30
58703990,16,4,28
58872051,16,4,28
62144483,16,0,32
62511921,16,4,28
63122092,16,4,28
63971790,16,4,28
63977923,16,4,28
64005686,16,5,27
59807210,15,4,26
61356901,15,4,26
63711851,15,0,30
63997745,15,5,25
64062532,15,4,26
57854386,14,3,25
57889981,14,5,23
58614264,14,4,24
59055786,14,4,24
59192323,14,4,24
60204833,14,4,24
63156522,14,4,24
63333516,14,4,24
63711538,14,4,24
63888653,14,3,25
63895984,14,3,25
64062200,14,4,24
58823672,13,4,22
60138948,13,4,22
60183960,13,4,22
60345586,13,4,22
61774790,13,4,22
62018238,13,3,23
62158507,13,5,21
62256973,13,4,22
62483376,13,4,22
63028275,13,4,22
63028516,13,4,22
63317253,13,2,24
63348204,13,4,22
63358100,13,4,22
63630258,13,3,23
63662469,13,4,22
63711282,13,4,22
63863997,13,3,23
64015511,13,4,22
64015512,13,4,22
64031289,13,4,22
64063477,13,5,21
57940321,12,4,20
58369570,12,3,21
58439076,12,3,21
58515920,12,4,20
59208506,12,0,24
59988907,12,0,24
60855362,12,0,24
61098954,12,0,24
61486622,12,1,23
61920117,12,4,20
62319898,12,4,20
62370678,12,2,22
62478533,12,4,20
62793446,12,4,20
62869718,12,4,20
63514953,12,4,20
63611786,12,3,21
63662281,12,4,20
63724583,12,4,20
63977600,12,4,20
58424026,11,0,22
58673629,11,3,19
58692891,11,4,18
58970432,11,4,18
59365668,11,4,18
59366664,11,1,21
60182500,11,4,18
60404932,11,3,19
61080453,11,4,18
61149123,11,3,19
61495377,11,1,21
61546761,11,3,19
61775145,11,4,18
61775939,11,3,19
61785860,11,5,17
61812463,11,1,21
62309579,11,4,18
62332751,11,1,21
62464575,11,3,19
62940978,11,2,20
63088465,11,3,19
63147386,11,5,17
63180951,11,3,19
63453483,11,3,19
63652057,11,2,20
63857049,11,4,18
64141621,11,4,18
64175400,11,0,22
58228743,10,3,17
58385099,10,3,17
58658722,10,3,17
59032656,10,3,17
59495108,10,4,16
59742482,10,4,16
59889537,10,3,17
60190024,10,4,16
60191103,10,6,14
60401029,10,3,17
60515901,10,4,16
60827307,10,2,18
61131842,10,3,17
61436945,10,0,20
61827975,10,4,16
61993795,10,5,15
62130938,10,3,17
62325366,10,2,18
62490794,10,3,17
62826591,10,2,18
63104306,10,3,17
63453500,10,5,15
63529637,10,4,16
63551032,10,4,16
63556880,10,3,17
63561139,10,3,17
63670094,10,5,15
63822519,10,4,16
63975618,10,3,17
57785962,9,0,18
58035921,9,3,15
59472134,9,5,13
60433288,9,3,15
60475775,9,2,16
60516620,9,4,14
60885391,9,3,15
61010425,9,0,18
61504516,9,4,14
62042835,9,4,14
62151018,9,7,11
62335591,9,1,17
62352341,9,2,16
62451194,9,4,14
62518776,9,3,15
62519029,9,3,15
62555698,9,4,14
62616120,9,4,14
62794510,9,3,15
63448882,9,5,13
63509483,9,3,15
63742225,9,3,15
63782464,9,3,15
63822620,9,5,13
63946511,9,0,18
63946512,9,1,17
64175909,9,0,18
58362628,8,0,16
58807177,8,0,16
58812837,8,3,13
59420649,8,3,13
59611665,8,4,12
59697763,8,3,13
59975219,8,4,12
60205923,8,4,12
61724768,8,0,16
61790301,8,3,13
61999383,8,3,13
62352340,8,2,14
62498773,8,4,12
63557088,8,3,13
63574954,8,2,14
63582317,8,3,13
63756546,8,2,14
63811896,8,4,12
63849851,8,1,15
58763370,7,3,11
59742778,7,0,14
60092612,7,0,14
60802725,7,2,12
61031408,7,1,13
62148205,7,0,14
62168998,7,4,10
62199258,7,0,14
62223485,7,0,14
62320737,7,3,11
62378896,7,3,11
62422333,7,4,10
62545134,7,5,9
62918034,7,3,11
63032164,7,2,12
63059931,7,2,12
63101102,7,2,12
63144000,7,3,11
63316699,7,1,13
63368136,7,2,12
63672032,7,4,10
57990182,6,1,11
58968975,6,2,10
58973263,6,0,12
59216168,6,5,7
60255406,6,1,11
60576809,6,3,9
61282856,6,3,9
61422479,6,5,7
61543283,6,5,7
61953557,6,1,11
62160583,6,2,10
62376739,6,4,8
62378470,6,4,8
62568591,6,0,12
62603624,6,1,11
63495821,6,0,12
63784851,6,3,9
63793087,6,1,11
59051883,5,2,8
59755664,5,4,6
60422038,5,3,7
60534277,5,1,9
61216363,5,0,10
61773295,5,3,7
62054358,5,3,7
63137174,5,1,9
63138002,5,1,9
63495666,5,0,10
64077352,5,2,8
60152475,4,3,5
61975775,4,0,8
62337672,4,3,5
62400637,4,3,5
62477210,4,0,8
62652479,4,10,-2
63368572,4,1,7
63453561,4,0,8
58115949,3,0,6
59485525,3,0,6
59605742,3,4,2
59742199,3,0,6
60224290,3,0,6
60883483,3,3,3
62476509,3,0,6
62504266,3,4,2
62538939,3,5,1
63453948,3,0,6
59631355,2,3,1
62122533,2,0,4
63056829,2,3,1
