# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-alihesham01 | Total High Potential: 121
Student ID,Classes Completed,Booked Unattended,Priority Score
58447100,30,10,50
63207818,27,8,46
61492460,21,4,38
58810649,20,3,37
59286305,20,4,36
60442057,18,4,32
63925968,18,3,33
59077809,17,4,30
60412938,17,4,30
62865459,17,1,33
63370140,17,3,31
63361138,16,4,28
63916552,16,4,28
58763932,15,5,25
58999806,15,1,29
59204130,15,4,26
59309127,15,4,26
58352918,14,4,24
59337088,14,4,24
60421829,14,4,24
63380041,14,4,24
63887842,14,4,24
64070305,14,4,24
58825285,13,4,22
60473742,13,4,22
61210758,13,3,23
62029512,13,4,22
62864887,13,0,26
58116518,12,0,24
58561345,12,1,23
59195499,12,2,22
59483861,12,0,24
60440096,12,0,24
62217271,12,4,20
62836976,12,0,24
62858510,12,4,20
62866476,12,3,21
63400478,12,4,20
63840582,12,3,21
64180332,12,4,20
58566979,11,3,19
58900290,11,3,19
58993085,11,2,20
59027943,11,2,20
59947861,11,4,18
60408819,11,5,17
61210583,11,9,13
62812443,11,4,18
62959446,11,4,18
62969023,11,4,18
63144369,11,3,19
63369953,11,3,19
63855170,11,3,19
63997219,11,8,14
58855285,10,1,19
59108799,10,2,18
59138444,10,3,17
59235255,10,0,20
59389473,10,0,20
60474515,10,4,16
60909762,10,4,16
61044400,10,2,18
61053496,10,3,17
61054024,10,3,17
61857347,10,3,17
61866375,10,2,18
62809137,10,3,17
62823715,10,2,18
62848463,10,2,18
62862393,10,5,15
63092922,10,3,17
63400291,10,3,17
59249154,9,0,18
59407908,9,4,14
59420128,9,4,14
59605078,9,4,14
61088485,9,0,18
61088952,9,0,18
61089003,9,0,18
61800321,9,5,13
62825723,9,0,18
62942824,9,5,13
59354500,8,4,12
60426522,8,0,16
60468984,8,4,12
61844352,8,5,11
61924898,8,0,16
62514215,8,0,16
62832229,8,3,13
62850640,8,1,15
62864107,8,4,12
63302060,8,4,12
64123579,8,3,13
58335630,7,2,12
59052074,7,4,10
59440803,7,4,10
60909765,7,0,14
61109800,7,2,12
62815632,7,3,11
62853417,7,0,14
63814281,7,0,14
58699152,6,3,9
61811619,6,4,8
62823528,6,4,8
62850046,6,0,12
59167172,5,2,8
62476297,5,0,10
62837470,5,2,8
62843184,5,1,9
62854446,5,0,10
63887061,5,0,10
60743523,4,5,3
62834852,4,4,4
61213425,3,0,6
62941297,3,0,6
63041830,3,3,3
63986318,3,2,4
61558922,2,10,-6
61725815,2,0,4
62840609,2,3,1
62863136,2,3,1
