# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-amrsafwat | Total High Potential: 247
Student ID,Classes Completed,Booked Unattended,Priority Score
63256233,34,7,61
63252200,30,7,53
57779301,22,0,44
61561451,20,6,34
63887920,18,4,32
58261778,17,4,30
58557544,17,4,30
60515799,17,3,31
61173402,17,4,30
63018568,17,4,30
63490119,17,3,31
63625710,17,3,31
59281114,16,5,27
60201390,16,5,27
63091926,16,5,27
59220326,15,5,25
59244604,15,10,20
60123119,15,4,26
60150335,15,5,25
60671435,15,5,25
60697035,15,4,26
62976713,15,7,23
63240824,15,4,26
60422971,14,4,24
60472437,14,4,24
61097897,14,2,26
62887633,14,4,24
62920309,14,4,24
62927507,14,3,25
63443012,14,4,24
63531989,14,4,24
63570646,14,4,24
63713610,14,2,26
63731390,14,4,24
64044297,14,4,24
58393067,13,4,22
58393410,13,4,22
58952380,13,4,22
59280591,13,4,22
59288154,13,5,21
59673420,13,2,24
59980539,13,4,22
61322113,13,5,21
61591686,13,4,22
61793992,13,4,22
62811052,13,3,23
63079269,13,2,24
63109854,13,0,26
63466151,13,4,22
63481950,13,4,22
63482607,13,4,22
63580242,13,2,24
63630609,13,4,22
63721907,13,4,22
63997822,13,4,22
58679546,12,1,23
58738059,12,0,24
58864461,12,3,21
59169255,12,4,20
59550120,12,4,20
59756544,12,0,24
60445594,12,1,23
60646092,12,4,20
60804026,12,1,23
61892980,12,4,20
62017242,12,3,21
62021527,12,3,21
62909011,12,4,20
63003008,12,4,20
63015006,12,3,21
63058110,12,3,21
63584285,12,4,20
63596136,12,2,22
64122258,12,0,24
57968623,11,3,19
57968906,11,3,19
58272907,11,2,20
58413857,11,3,19
58437717,11,2,20
58522905,11,1,21
58608642,11,3,19
59124916,11,0,22
59885276,11,4,18
60149749,11,7,15
60311622,11,4,18
60513664,11,4,18
60650005,11,4,18
60872919,11,5,17
62321855,11,4,18
62848425,11,3,19
62896505,11,1,21
63453453,11,2,20
63482115,11,3,19
63867986,11,2,20
63868150,11,2,20
63903345,11,2,20
64151224,11,3,19
64167392,11,3,19
64177611,11,4,18
57709419,10,4,16
58043768,10,3,17
58170683,10,1,19
58553322,10,0,20
58963189,10,3,17
59372421,10,4,16
59420389,10,3,17
60199838,10,2,18
60211462,10,4,16
60244649,10,5,15
60712706,10,4,16
61329350,10,4,16
61676608,10,2,18
62579943,10,4,16
62794618,10,3,17
62803205,10,8,12
62850633,10,3,17
62938197,10,0,20
62996402,10,3,17
63068206,10,3,17
63130715,10,3,17
63144964,10,3,17
63329916,10,4,16
63439591,10,3,17
63448148,10,1,19
63548275,10,3,17
63571445,10,4,16
63656494,10,3,17
63790262,10,3,17
63855260,10,4,16
63856096,10,3,17
63990100,10,5,15
64003354,10,3,17
64158044,10,2,18
58060911,9,2,16
58160786,9,1,17
58527364,9,3,15
58620350,9,2,16
58838709,9,1,17
58970016,9,0,18
59031980,9,4,14
59280176,9,3,15
59614611,9,1,17
59630907,9,1,17
59704886,9,4,14
59824378,9,4,14
60091629,9,4,14
60165310,9,0,18
60429841,9,3,15
61505209,9,2,16
61674974,9,2,16
61973595,9,4,14
62204897,9,4,14
62291575,9,3,15
62354886,9,3,15
62804474,9,3,15
62805492,9,3,15
62944560,9,3,15
63146736,9,0,18
63164705,9,3,15
63224674,9,4,14
63241328,9,3,15
63594195,9,4,14
63788057,9,3,15
64006501,9,2,16
64111223,9,1,17
58356471,8,0,16
58370337,8,3,13
58374386,8,0,16
58740513,8,2,14
60129545,8,0,16
60166887,8,3,13
60579036,8,1,15
60926256,8,0,16
61650702,8,4,12
61682071,8,2,14
61838572,8,3,13
61857730,8,3,13
62037972,8,0,16
62067481,8,4,12
62072966,8,4,12
62309968,8,3,13
62335863,8,4,12
62396939,8,4,12
62596524,8,2,14
63452389,8,3,13
63496014,8,2,14
63934709,8,0,16
63936026,8,0,16
58562134,7,3,11
58781356,7,0,14
59035740,7,1,13
59051305,7,3,11
59463562,7,0,14
59578653,7,5,9
59786493,7,3,11
60183451,7,0,14
60347747,7,4,10
60725922,7,2,12
62163665,7,5,9
62310826,7,2,12
62366953,7,3,11
62811033,7,3,11
63162117,7,0,14
63387936,7,5,9
63701039,7,2,12
64134954,7,0,14
64179841,7,3,11
58556871,6,2,10
59066297,6,3,9
59218891,6,0,12
59685375,6,0,12
60138650,6,0,12
63236629,6,1,11
58510788,5,4,6
58664726,5,5,5
58695668,5,4,6
59750272,5,5,5
60151460,5,4,6
60711852,5,7,3
61384121,5,0,10
61968900,5,2,8
61973943,5,4,6
62433116,5,0,10
63035084,5,2,8
63046379,5,0,10
63239722,5,1,9
63772973,5,3,7
58219377,4,3,5
58457327,4,2,6
58822771,4,3,5
60219237,4,2,6
60959988,4,4,4
61977327,4,3,5
62368678,4,3,5
62505283,4,4,4
63035917,4,2,6
63112301,4,0,8
63213391,4,1,7
58637491,3,0,6
58742600,3,3,3
59112689,3,0,6
60581443,3,0,6
60634731,3,3,3
62620467,3,4,2
62620704,2,3,1
62869744,2,0,4
62894807,2,0,4
