# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-ehabzaky01 | Total High Potential: 196
Student ID,Classes Completed,Booked Unattended,Priority Score
63799171,22,9,35
63799160,21,5,37
64100882,19,4,34
62683013,18,4,32
63146293,18,4,32
63359684,18,5,31
63436162,18,6,30
63595952,18,4,32
60704014,17,4,30
61261788,17,1,33
61723596,17,4,30
62425371,17,4,30
58623855,16,4,28
62796519,16,5,27
63681587,16,2,30
62728531,15,4,26
63895440,15,4,26
58986389,14,5,23
59245842,14,4,24
59894144,14,4,24
60386842,14,4,24
62697773,14,4,24
62968140,14,2,26
62992051,14,5,23
63605612,14,4,24
63605613,14,4,24
63668395,14,4,24
63888514,14,4,24
63987971,14,4,24
58519254,13,4,22
60517131,13,2,24
61282035,13,4,22
61527899,13,4,22
63320392,13,4,22
63499362,13,3,23
63500520,13,4,22
63603329,13,4,22
63652858,13,4,22
63849428,13,4,22
63875175,13,3,23
63892943,13,4,22
58383464,12,4,20
59206925,12,0,24
61420227,12,5,19
61420307,12,5,19
61600735,12,5,19
62064619,12,4,20
62230879,12,6,18
62430466,12,4,20
62555188,12,4,20
62959233,12,0,24
63015016,12,5,19
63207123,12,2,22
63332476,12,4,20
63688695,12,4,20
63809702,12,4,20
64050265,12,4,20
58557704,11,3,19
58575428,11,4,18
58742815,11,2,20
58782602,11,1,21
59001564,11,2,20
59002291,11,2,20
59013984,11,1,21
59234924,11,2,20
59272115,11,2,20
59308517,11,4,18
60231454,11,2,20
60324916,11,3,19
60444707,11,2,20
61822218,11,2,20
61978094,11,3,19
62551164,11,2,20
62963216,11,1,21
62967556,11,2,20
63073284,11,4,18
63758878,11,2,20
63765882,11,2,20
64096077,11,2,20
58778498,10,2,18
58790313,10,0,20
58938872,10,2,18
59275619,10,2,18
59301578,10,3,17
60538073,10,2,18
60709868,10,0,20
60826937,10,2,18
60988805,10,4,16
61063091,10,2,18
61952970,10,2,18
62142587,10,3,17
62498634,10,3,17
62596261,10,5,15
62726563,10,3,17
62910769,10,4,16
62959730,10,2,18
62972589,10,2,18
63051212,10,0,20
63065117,10,4,16
63260372,10,3,17
63397885,10,3,17
63425527,10,2,18
63490766,10,3,17
63530101,10,4,16
63600990,10,3,17
63682352,10,2,18
63688784,10,4,16
63713707,10,4,16
64044932,10,5,15
64144285,10,3,17
58871139,9,2,16
58905948,9,2,16
58957875,9,0,18
59517960,9,2,16
60602952,9,3,15
60676559,9,1,17
60920256,9,4,14
61282556,9,0,18
61761986,9,3,15
61785131,9,3,15
61898761,9,4,14
61922132,9,2,16
62149546,9,4,14
62296377,9,3,15
62774043,9,3,15
62964211,9,2,16
62975844,9,3,15
63155967,9,4,14
63618791,9,3,15
63996264,9,5,13
59359739,8,3,13
60202617,8,3,13
61079330,8,2,14
61210487,8,5,11
61440303,8,5,11
62795565,8,3,13
63232855,8,4,12
63388295,8,3,13
63655005,8,4,12
63712455,8,3,13
58569691,7,4,10
59193892,7,4,10
59341125,7,0,14
59654030,7,0,14
60992155,7,3,11
61210551,7,5,9
62439947,7,2,12
62507015,7,4,10
62870595,7,0,14
63596243,7,3,11
63607314,7,2,12
63863286,7,2,12
64044191,7,0,14
58660017,6,3,9
61839865,6,0,12
61923081,6,0,12
62952900,6,1,11
63651375,6,4,8
63988100,6,3,9
60010110,5,3,7
60215793,5,2,8
60425497,5,4,6
60480969,5,0,10
61086267,5,0,10
61662800,5,3,7
62565499,5,2,8
63106766,5,0,10
63671406,5,3,7
63807426,5,4,6
63884426,5,2,8
64123114,5,5,5
58097486,4,3,5
58594870,4,1,7
60195445,4,3,5
60737352,4,4,4
61010118,4,0,8
61386574,4,3,5
62148689,4,0,8
62560895,4,3,5
62589932,4,2,6
62787907,4,5,3
62802950,4,3,5
63681943,4,3,5
59884401,3,4,2
61124276,3,4,2
61185845,3,4,2
62318061,3,4,2
62818188,3,1,5
62968031,3,2,4
63164166,3,2,4
58532244,2,2,2
60131952,2,0,4
63849164,2,1,3
63867656,2,0,4
63968028,2,0,4
64113407,2,0,4
