# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-hayamhassan | Total High Potential: 108
Student ID,Classes Completed,Booked Unattended,Priority Score
63603120,19,5,33
61724557,18,5,31
58653432,17,4,30
62826545,17,5,29
63734285,17,5,29
63924737,17,4,30
63928664,17,4,30
58513557,16,5,27
63673288,16,4,28
63886277,16,4,28
62861314,15,4,26
63581704,15,4,26
63605140,15,2,28
64113273,15,3,27
60500285,14,4,24
60803991,14,4,24
62864918,14,4,24
63028427,14,4,24
63771646,14,4,24
63785454,14,4,24
64113613,14,3,25
57940129,13,4,22
58412788,13,1,25
63730900,13,4,22
63793694,13,4,22
63821948,13,4,22
63902700,13,3,23
63954159,13,4,22
64105746,13,4,22
58660535,12,4,20
60110633,12,4,20
61414952,12,4,20
63462442,12,0,24
63462759,12,4,20
63658537,12,4,20
63661394,12,2,22
63661801,12,2,22
63771368,12,4,20
63782743,12,4,20
63863357,12,5,19
63966889,12,4,20
58043108,11,4,18
58831873,11,3,19
58846797,11,4,18
59790908,11,2,20
61586385,11,1,21
63441841,11,4,18
63441858,11,4,18
63604457,11,2,20
63693000,11,3,19
63693274,11,3,19
63730358,11,2,20
63735765,11,1,21
63912482,11,9,13
63920539,11,3,19
63986210,11,3,19
58251232,10,2,18
58346352,10,2,18
58640246,10,3,17
63626979,10,3,17
63640429,10,3,17
63641114,10,3,17
63647555,10,3,17
63730359,10,2,18
63730360,10,3,17
63747393,10,0,20
63801429,10,2,18
63868002,10,2,18
63901943,10,4,16
64057444,10,4,16
64170627,10,3,17
57937832,9,4,14
60206865,9,3,15
60720247,9,2,16
63035223,9,3,15
63144559,9,4,14
63567223,9,3,15
63605143,9,4,14
63673032,9,4,14
63877766,9,4,14
64164227,9,2,16
58115208,8,4,12
60676118,8,1,15
61617671,8,2,14
63628875,8,4,12
63661989,8,2,14
63780391,8,2,14
58929523,7,3,11
60146320,7,1,13
60299565,7,3,11
63627401,7,2,12
63629087,7,4,10
63652971,7,3,11
63711215,7,5,9
63789772,7,0,14
60146292,6,1,11
63891622,6,3,9
63917493,6,3,9
59294936,5,3,7
63232790,5,4,6
63274254,5,3,7
63566644,5,5,5
63595698,5,0,10
63651949,4,4,4
63743259,4,4,4
58713040,3,0,6
61044815,3,1,5
63888032,3,0,6
