# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-ibrahimismaiel | Total High Potential: 236
Student ID,Classes Completed,Booked Unattended,Priority Score
63244443,30,6,54
58907377,21,5,37
60678355,18,4,32
58405609,17,0,34
59797661,17,4,30
63406771,17,4,30
60119197,16,4,28
61958714,16,4,28
62403414,16,4,28
62909719,16,4,28
63830991,16,3,29
63969673,16,0,32
58557699,15,2,28
58557964,15,4,26
62687645,15,6,24
62909377,15,4,26
63615767,15,0,30
58704783,14,4,24
61196292,14,4,24
61196303,14,4,24
62015742,14,4,24
62637668,14,4,24
62705078,14,4,24
62825678,14,4,24
63109255,14,4,24
63445740,14,4,24
63531421,14,4,24
64052295,14,4,24
64097184,14,3,25
58548089,13,4,22
59110151,13,4,22
60321306,13,4,22
61431836,13,3,23
62801070,13,4,22
63568743,13,4,22
63572084,13,2,24
64069000,13,4,22
64103704,13,3,23
58537407,12,1,23
58736276,12,4,20
59138108,12,4,20
59678753,12,3,21
59730624,12,4,20
60208509,12,4,20
62248281,12,2,22
62265791,12,4,20
62367509,12,4,20
63048881,12,0,24
63204135,12,4,20
63531695,12,0,24
63532632,12,0,24
63679524,12,0,24
63773624,12,0,24
63889531,12,3,21
64034894,12,3,21
58355926,11,5,17
58748317,11,4,18
59137683,11,0,22
60209771,11,4,18
60587852,11,4,18
60696126,11,2,20
61196727,11,4,18
61211706,11,4,18
62492651,11,3,19
62514168,11,3,19
62613547,11,3,19
62724066,11,3,19
63682602,11,2,20
63976353,11,0,22
63987423,11,0,22
64079488,11,1,21
64092603,11,4,18
64166734,11,2,20
59073784,10,1,19
59074088,10,1,19
59679375,10,3,17
60181028,10,3,17
60552763,10,3,17
61212008,10,0,20
61431869,10,2,18
61621009,10,4,16
61638634,10,2,18
61657961,10,3,17
61800168,10,5,15
62024259,10,1,19
62171229,10,4,16
62713054,10,2,18
62762259,10,2,18
62896689,10,2,18
62916400,10,1,19
62917349,10,0,20
63155646,10,1,19
63464090,10,1,19
63522208,10,2,18
63580262,10,0,20
63601904,10,3,17
63691919,10,2,18
63755890,10,2,18
63756157,10,2,18
63783804,10,2,18
63830353,10,4,16
63919597,10,3,17
64057350,10,2,18
64111610,10,3,17
58519033,9,4,14
59690462,9,3,15
59792967,9,0,18
60189470,9,0,18
60313860,9,0,18
60675749,9,2,16
60790453,9,0,18
61003455,9,2,16
61091856,9,4,14
61447559,9,3,15
61464697,9,3,15
61662982,9,3,15
61810048,9,3,15
62345795,9,2,16
62369437,9,0,18
62514355,9,2,16
62609267,9,3,15
62660217,9,3,15
62690171,9,3,15
62728815,9,0,18
62763468,9,2,16
62780548,9,0,18
62808028,9,4,14
62896723,9,3,15
63071514,9,0,18
63379640,9,3,15
63661803,9,2,16
63774509,9,0,18
63827128,9,0,18
58206801,8,1,15
59031891,8,0,16
59252331,8,2,14
59606629,8,4,12
60017177,8,4,12
60195704,8,1,15
60353164,8,3,13
61211845,8,0,16
61940772,8,3,13
62137173,8,3,13
62272582,8,3,13
62272810,8,5,11
62616354,8,0,16
62878275,8,2,14
62926535,8,0,16
62933922,8,2,14
63039213,8,3,13
63475670,8,2,14
63522137,8,2,14
63652616,8,0,16
64124294,8,0,16
58311958,7,0,14
59217966,7,0,14
59443246,7,0,14
59519466,7,0,14
60022633,7,4,10
61437046,7,4,10
61674923,7,0,14
61756732,7,3,11
61942736,7,4,10
61944052,7,3,11
61944104,7,3,11
62134700,7,3,11
62272080,7,3,11
62313175,7,2,12
62582214,7,3,11
62713005,7,0,14
62787537,7,3,11
63500829,7,2,12
63638467,7,0,14
63639867,7,0,14
64006558,7,0,14
58643987,6,2,10
59627941,6,0,12
60445910,6,3,9
61207161,6,0,12
61220263,6,0,12
61425516,6,5,7
61476731,6,3,9
62173645,6,2,10
62426149,6,2,10
62963730,6,2,10
62971892,6,3,9
58367269,5,0,10
58707806,5,0,10
59678817,5,4,6
60405241,5,4,6
60834357,5,0,10
62167166,5,5,5
62272345,5,4,6
62496545,5,3,7
62865141,5,0,10
62874196,5,0,10
63466033,5,4,6
63507740,5,0,10
63559893,5,4,6
59323713,4,1,7
60604761,4,9,-1
60853096,4,1,7
62496645,4,3,5
62705349,4,0,8
63050319,4,1,7
63212081,4,2,6
63522159,4,0,8
63640942,4,2,6
63711578,4,0,8
63712696,4,0,8
64079248,4,2,6
58525638,3,1,5
60923859,3,0,6
61126692,3,0,6
61386398,3,5,1
61874301,3,2,4
62309284,3,4,2
62711040,3,3,3
63024428,3,1,5
63202685,3,3,3
63390601,3,2,4
63616146,3,0,6
63712877,3,0,6
63726273,3,0,6
63857181,3,0,6
59369816,2,2,2
59873334,2,3,1
60530451,2,4,0
60914297,2,5,-1
61480934,2,0,4
62475632,2,0,4
62927488,2,0,4
63499498,2,0,4
63500057,2,0,4
63619317,2,0,4
63850836,2,0,4
