# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-juliamonir01 | Total High Potential: 231
Student ID,Classes Completed,Booked Unattended,Priority Score
63495185,21,0,42
63854359,20,4,36
63481694,19,0,38
58825124,18,4,32
63149661,18,9,27
59535416,17,2,32
62880771,17,4,30
64129119,17,4,30
59256846,16,5,27
63973446,16,0,32
58499515,15,4,26
59716232,15,3,27
63527736,15,0,30
58206230,14,5,23
58575519,14,4,24
59219350,14,4,24
60740785,14,4,24
61595913,14,5,23
61666370,14,3,25
61785967,14,3,25
62173080,14,0,28
62330126,14,3,25
63014584,14,4,24
63016615,14,4,24
63499412,14,1,27
63508429,14,1,27
63984474,14,4,24
64157496,14,4,24
58432398,13,3,23
58824521,13,5,21
59096892,13,4,22
59519888,13,4,22
61410131,13,4,22
61530483,13,0,26
62064390,13,3,23
62861982,13,4,22
63121344,13,4,22
63341140,13,3,23
63441704,13,4,22
63910713,13,4,22
64007331,13,4,22
64157593,13,4,22
58964272,12,0,24
59159279,12,4,20
60251281,12,4,20
60413417,12,4,20
60708375,12,1,23
60738161,12,4,20
61522528,12,4,20
61802070,12,0,24
62172966,12,0,24
62242232,12,4,20
62336667,12,4,20
62547011,12,2,22
62597360,12,4,20
62660287,12,4,20
62802521,12,1,23
62877633,12,4,20
63057337,12,4,20
63129239,12,3,21
63138030,12,4,20
63154617,12,0,24
63155437,12,0,24
63464281,12,2,22
63619222,12,3,21
63670248,12,1,23
63811222,12,4,20
63859196,12,2,22
63996839,12,4,20
64131292,12,2,22
58498556,11,3,19
58675856,11,4,18
58816339,11,1,21
58939719,11,4,18
59173294,11,1,21
59197137,11,2,20
59679398,11,4,18
60344603,11,2,20
60421532,11,4,18
60562333,11,3,19
60791600,11,4,18
61284442,11,4,18
61637292,11,0,22
61656702,11,4,18
61656781,11,4,18
61795292,11,4,18
62115375,11,4,18
62115625,11,4,18
62128683,11,4,18
62128916,11,4,18
62243628,11,4,18
62392322,11,2,20
62939504,11,2,20
62961118,11,4,18
63018166,11,0,22
63064431,11,0,22
63400086,11,5,17
63496258,11,1,21
63593854,11,2,20
63593935,11,2,20
63618414,11,0,22
63937989,11,2,20
63956684,11,0,22
58221773,10,4,16
58279083,10,3,17
59155073,10,4,16
59582228,10,4,16
59877141,10,4,16
60138036,10,4,16
60800639,10,5,15
60907447,10,0,20
61018652,10,2,18
61021640,10,2,18
61079616,10,1,19
61704928,10,3,17
61976838,10,4,16
62274489,10,3,17
62414668,10,3,17
62512353,10,3,17
62534065,10,4,16
62540325,10,3,17
62597015,10,2,18
62718186,10,3,17
62969730,10,2,18
63036788,10,1,19
63071903,10,3,17
63188153,10,3,17
63357196,10,3,17
63436031,10,0,20
63448294,10,4,16
63518932,10,3,17
63578149,10,3,17
64126349,10,4,16
58615858,9,0,18
58824169,9,5,13
58969078,9,0,18
59087378,9,4,14
59140925,9,0,18
59193679,9,4,14
59275037,9,3,15
60687904,9,0,18
61116277,9,3,15
61116532,9,3,15
62036329,9,4,14
62149347,9,2,16
62271411,9,3,15
62847691,9,1,17
62917042,9,4,14
62971385,9,5,13
62983242,9,2,16
63315633,9,2,16
63465315,9,1,17
63499346,9,2,16
63517197,9,0,18
63540402,9,1,17
58439370,8,4,12
59106253,8,0,16
59178558,8,4,12
59237342,8,3,13
59498167,8,0,16
59623438,8,3,13
59855931,8,0,16
61154693,8,6,10
61305208,8,0,16
61337662,8,3,13
61419338,8,3,13
61974075,8,3,13
62000864,8,4,12
62147533,8,1,15
62388331,8,4,12
62440525,8,3,13
62594461,8,0,16
63464175,8,3,13
63511055,8,0,16
63518083,8,1,15
63555848,8,2,14
63596420,8,4,12
63994975,8,4,12
64135636,8,4,12
58086978,7,0,14
58749214,7,0,14
58780934,7,0,14
59304687,7,3,11
60820725,7,0,14
61062573,7,2,12
61540462,7,4,10
61813580,7,2,12
63244601,7,4,10
63567528,7,3,11
58563517,6,0,12
59052015,6,0,12
59251129,6,3,9
60128851,6,3,9
60262488,6,0,12
60889960,6,4,8
60933560,6,3,9
61576247,6,1,11
63121563,6,2,10
63613489,6,0,12
58501716,5,2,8
60277322,5,5,5
61420166,5,3,7
61420185,5,4,6
61613217,5,2,8
61791488,5,0,10
62591307,5,3,7
62811790,5,0,10
62881542,5,0,10
62960942,5,5,5
63539937,5,0,10
59223073,4,5,3
61875215,4,0,8
62033705,4,3,5
63456673,4,2,6
63876873,4,4,4
58432337,3,0,6
59140501,3,0,6
59278599,3,0,6
59327886,3,0,6
60604337,3,5,1
61144114,3,0,6
62274010,3,7,-1
62771862,3,0,6
58904616,2,0,4
58904709,2,0,4
61272596,2,0,4
61791658,2,0,4
62367475,2,3,1
62384965,2,0,4
62923409,2,0,4
63555908,2,5,-1
