# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-khaledgonam | Total High Potential: 234
Student ID,Classes Completed,Booked Unattended,Priority Score
62940181,33,5,61
62821219,25,10,40
63479524,21,4,38
63538213,21,4,38
63265311,20,5,35
59373673,18,4,32
60134129,18,5,31
61069423,18,5,31
60607450,17,3,31
61226311,17,4,30
61228452,17,4,30
61228510,17,4,30
62283849,17,2,32
63387101,17,4,30
59601952,16,4,28
62028537,16,3,29
62713091,16,8,24
59053550,15,4,26
60856169,15,0,30
60899230,15,5,25
61428105,15,5,25
63121807,15,0,30
63349836,15,0,30
63833320,15,6,24
58973482,14,4,24
59188442,14,1,27
60143682,14,4,24
60943596,14,4,24
61091129,14,3,25
61449855,14,2,26
62392400,14,0,28
63003676,14,4,24
63324438,14,4,24
63562384,14,2,26
63846020,14,6,22
63897958,14,0,28
59160784,13,3,23
60177706,13,4,22
60361456,13,4,22
60534042,13,4,22
61211038,13,4,22
61246535,13,4,22
61342786,13,3,23
62367866,13,4,22
63315515,13,4,22
63490270,13,4,22
64005132,13,4,22
64157238,13,4,22
58355751,12,4,20
59351053,12,2,22
59753562,12,4,20
60134127,12,4,20
60148234,12,5,19
60209157,12,0,24
61952715,12,4,20
62247700,12,4,20
62248433,12,2,22
62384854,12,0,24
62475389,12,4,20
63454440,12,4,20
58354875,11,4,18
58579344,11,5,17
58780927,11,2,20
59755379,11,1,21
59822639,11,3,19
60106196,11,0,22
60168462,11,2,20
60369668,11,4,18
61219171,11,4,18
61610250,11,4,18
61851052,11,2,20
61942587,11,4,18
61952513,11,4,18
62354088,11,2,20
62432942,11,4,18
62556702,11,2,20
62825962,11,0,22
63060331,11,2,20
63061002,11,2,20
63113452,11,4,18
63195069,11,4,18
63325508,11,4,18
63442433,11,1,21
63593960,11,2,20
63603976,11,3,19
63909984,11,6,16
58745679,10,0,20
59374429,10,3,17
59465262,10,3,17
60184122,10,7,13
60370104,10,3,17
60478898,10,2,18
60789080,10,4,16
60841677,10,0,20
61297269,10,3,17
62217854,10,4,16
62501059,10,3,17
62627125,10,2,18
62918477,10,4,16
62919526,10,4,16
63125997,10,0,20
63165923,10,2,18
63427860,10,4,16
63519744,10,4,16
63561500,10,0,20
63636740,10,3,17
63708632,10,4,16
63821656,10,3,17
57956052,9,2,16
58802520,9,3,15
58866417,9,3,15
58925465,9,4,14
59442652,9,3,15
59594751,9,4,14
59809548,9,4,14
60326794,9,3,15
60985574,9,0,18
61068263,9,5,13
61147183,9,4,14
61241416,9,4,14
61635530,9,3,15
62045158,9,2,16
62146040,9,4,14
62449261,9,3,15
62499032,9,3,15
63613989,9,4,14
64113784,9,0,18
58307217,8,0,16
58575677,8,2,14
59267062,8,3,13
59495068,8,2,14
59707248,8,4,12
59750382,8,4,12
60193052,8,4,12
60666469,8,4,12
60718432,8,2,14
60718623,8,3,13
61966428,8,4,12
62073807,8,4,12
62123728,8,0,16
62432456,8,4,12
62582222,8,2,14
62787299,8,1,15
62788773,8,3,13
62814948,8,4,12
63161681,8,5,11
63257314,8,3,13
63389237,8,4,12
63736770,8,2,14
63812631,8,3,13
64113463,8,1,15
64115210,8,0,16
58300787,7,0,14
58682342,7,0,14
58793010,7,2,12
59472042,7,4,10
59783285,7,3,11
59912253,7,4,10
60427829,7,0,14
60433632,7,4,10
62339566,7,4,10
62776485,7,3,11
62840122,7,4,10
62932132,7,4,10
63351646,7,0,14
58304605,6,0,12
58347739,6,4,8
58559228,6,1,11
59352874,6,0,12
59469037,6,1,11
59695639,6,4,8
60115463,6,5,7
60194274,6,0,12
60307536,6,0,12
60714252,6,4,8
60915663,6,3,9
62065610,6,0,12
62455620,6,3,9
62472202,6,2,10
62491234,6,3,9
62566994,6,2,10
62600215,6,3,9
62919610,6,4,8
63317050,6,5,7
63357957,6,0,12
63452831,6,3,9
63470055,6,3,9
58367131,5,3,7
58578534,5,1,9
58972096,5,3,7
59171545,5,0,10
59359310,5,4,6
60139648,5,0,10
60152691,5,0,10
60852440,5,0,10
61463281,5,3,7
62005793,5,1,9
62637283,5,4,6
63046356,5,4,6
63086572,5,0,10
63257138,5,3,7
63273724,5,0,10
63324423,5,3,7
63437657,5,4,6
63609206,5,1,9
63702549,5,0,10
59264819,4,5,3
60177401,4,4,4
60241173,4,0,8
61225330,4,1,7
61511084,4,4,4
62490847,4,4,4
62802422,4,2,6
63024935,4,0,8
63321567,4,1,7
63395811,4,0,8
63809911,4,2,6
59490351,3,1,5
61605442,3,5,1
62630490,3,5,1
62960075,3,4,2
63416804,3,4,2
63648653,3,3,3
58339614,2,0,4
60868504,2,4,0
60923195,2,4,0
61003902,2,3,1
61271617,2,3,1
61482785,2,3,1
61511082,2,4,0
61684505,2,0,4
62018684,2,5,-1
62423258,2,0,4
62630577,2,5,-1
