# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-mahmoud04 | Total High Potential: 266
Student ID,Classes Completed,Booked Unattended,Priority Score
58677569,22,8,36
63994130,21,4,38
64126174,20,6,34
60398235,19,6,32
63112523,19,6,32
63994116,19,4,34
64157762,19,6,32
59432593,18,6,30
59652010,18,5,31
59950176,18,4,32
60634799,18,4,32
60995017,18,5,31
64051178,18,6,30
58800297,17,4,30
60164906,17,4,30
61346064,17,4,30
62609058,17,5,29
62810639,17,4,30
64149213,17,5,29
64158995,17,5,29
58358163,16,5,27
61079684,16,5,27
62597030,16,5,27
63024656,16,6,26
63204331,16,0,32
63646074,16,4,28
64039636,16,4,28
60645953,15,5,25
63288335,15,5,25
63656984,15,5,25
64058388,15,6,24
58969360,14,1,27
60986615,14,4,24
61582328,14,4,24
62713629,14,4,24
62803943,14,4,24
62843453,14,4,24
62850957,14,4,24
63228345,14,4,24
63256521,14,2,26
63803791,14,4,24
63822902,14,4,24
64067318,14,6,22
59656700,13,4,22
60697420,13,4,22
61168915,13,0,26
61232433,13,4,22
61501538,13,5,21
61824757,13,4,22
62074159,13,4,22
62527195,13,4,22
62550351,13,4,22
62851062,13,4,22
62988534,13,4,22
63207813,13,5,21
63498516,13,6,20
63887782,13,4,22
64051649,13,3,23
59657775,12,4,20
60201924,12,4,20
60530429,12,4,20
61054339,12,6,18
61197401,12,2,22
61663865,12,4,20
61803848,12,4,20
62006900,12,3,21
62022561,12,4,20
62127091,12,4,20
62128101,12,4,20
62216907,12,4,20
62449528,12,0,24
62609412,12,5,19
62615466,12,4,20
62615885,12,4,20
62823477,12,1,23
62823903,12,1,23
62962279,12,0,24
62962424,12,4,20
63088246,12,4,20
63188140,12,4,20
63375686,12,4,20
63384852,12,4,20
63572622,12,2,22
63584101,12,3,21
63628747,12,0,24
63790869,12,4,20
64050275,12,4,20
58328823,11,2,20
58524120,11,4,18
58784585,11,2,20
58872614,11,3,19
59097454,11,5,17
59849952,11,3,19
60049708,11,5,17
60203243,11,0,22
60313810,11,4,18
60623669,11,6,16
61514345,11,4,18
61624655,11,4,18
62141693,11,2,20
62233485,11,4,18
62520412,11,4,18
62589986,11,3,19
62630222,11,5,17
63088262,11,1,21
63178748,11,4,18
63225293,11,3,19
63464843,11,3,19
63489224,11,3,19
63735712,11,3,19
63793970,11,3,19
63927579,11,4,18
58785483,10,3,17
59288427,10,3,17
59326389,10,4,16
59354432,10,1,19
59371832,10,3,17
59922812,10,3,17
60152347,10,2,18
60347437,10,2,18
60457923,10,4,16
60474530,10,2,18
61767779,10,3,17
62857023,10,2,18
62880545,10,0,20
63163593,10,4,16
63213188,10,3,17
63213624,10,3,17
63380092,10,4,16
63424521,10,3,17
63639049,10,3,17
64125252,10,3,17
64143642,10,6,14
57975891,9,3,15
58590703,9,3,15
58614551,9,4,14
58630573,9,3,15
58889225,9,4,14
59063867,9,4,14
59082657,9,4,14
59454823,9,3,15
59809643,9,4,14
60152948,9,0,18
60253777,9,4,14
60298576,9,3,15
60345933,9,2,16
61102780,9,4,14
61523095,9,3,15
61717497,9,2,16
61803185,9,4,14
61836473,9,4,14
61838048,9,3,15
61983930,9,0,18
62032162,9,0,18
62401080,9,1,17
62439178,9,3,15
62534411,9,4,14
62855101,9,5,13
62857027,9,4,14
63095316,9,4,14
63267107,9,1,17
63378710,9,3,15
63447965,9,2,16
63451623,9,3,15
63503004,9,4,14
63508964,9,5,13
63744048,9,2,16
63782728,9,3,15
63929460,9,6,12
63961477,9,3,15
63987019,9,2,16
58169287,8,3,13
59927480,8,3,13
60012540,8,2,14
60144641,8,3,13
60207423,8,2,14
60736210,8,3,13
60804633,8,4,12
61220328,8,4,12
61867901,8,3,13
61923679,8,3,13
62262418,8,4,12
62395119,8,4,12
62424275,8,1,15
62471693,8,2,14
62499085,8,3,13
62955931,8,3,13
63152139,8,4,12
58322424,7,4,10
58692487,7,0,14
58863573,7,4,10
59088179,7,3,11
59101330,7,4,10
59899133,7,2,12
60189696,7,3,11
60613808,7,2,12
60697183,7,4,10
60926660,7,0,14
60938883,7,2,12
61666459,7,4,10
61722582,7,1,13
62091413,7,3,11
62351077,7,4,10
62423558,7,2,12
62511454,7,4,10
62870608,7,3,11
62976583,7,3,11
63574349,7,2,12
63585131,7,4,10
58343551,6,3,9
58615004,6,3,9
58663550,6,1,11
58886817,6,3,9
59168117,6,7,5
59450779,6,3,9
59615149,6,0,12
60147230,6,0,12
60827058,6,0,12
61050768,6,2,10
61616116,6,3,9
61840681,6,3,9
63112692,6,4,8
63409036,6,4,8
63961098,6,3,9
58979371,5,0,10
60778908,5,3,7
61339789,5,0,10
62409267,5,3,7
62419320,5,0,10
62427016,5,2,8
62437596,5,0,10
62862962,5,4,6
62870420,5,3,7
63072588,5,4,6
63578890,5,2,8
63591071,5,4,6
63887738,5,2,8
58825613,4,0,8
59522854,4,3,5
60196292,4,1,7
60571553,4,2,6
60589906,4,4,4
60672564,4,2,6
60750374,4,4,4
61512169,4,0,8
61967081,4,0,8
62010884,4,5,3
62686694,4,3,5
62870326,4,3,5
63584961,4,4,4
64112159,4,1,7
61438126,3,2,4
63522668,3,0,6
58664684,2,0,4
59578673,2,4,0
59579205,2,0,4
60141044,2,2,2
60149948,2,2,2
60151685,2,2,2
60597337,2,4,0
61064269,2,3,1
61383560,2,0,4
62310168,2,2,2
62674764,2,2,2
62687751,2,3,1
63102368,2,0,4
