# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-mahmoudkhamis | Total High Potential: 229
Student ID,Classes Completed,Booked Unattended,Priority Score
63838778,33,8,58
63803302,21,2,40
63803060,20,2,38
59059005,18,4,32
63672473,18,4,32
58752604,17,4,30
59358241,17,5,29
60678956,17,4,30
61320402,17,5,29
63425289,17,4,30
63692582,17,6,28
59797604,16,5,27
59835838,16,2,30
61309925,16,5,27
62478046,16,4,28
63556897,16,0,32
63838129,16,4,28
63838942,16,4,28
58196833,15,0,30
60276790,15,4,26
61432393,15,3,27
62523142,15,4,26
63539081,15,3,27
63822354,15,0,30
63838953,15,4,26
63927894,15,4,26
58141729,14,3,25
59231327,14,5,23
59581025,14,0,28
59618942,14,4,24
59986243,14,4,24
60901719,14,2,26
61134036,14,4,24
62338441,14,4,24
62712995,14,4,24
62903039,14,3,25
62903133,14,3,25
63114523,14,4,24
63265846,14,4,24
63309400,14,4,24
63572572,14,4,24
63681020,14,4,24
63735735,14,2,26
59604996,13,4,22
60947491,13,4,22
61124577,13,4,22
61127600,13,4,22
62290823,13,4,22
62338705,13,4,22
62575442,13,0,26
62628560,13,4,22
62824343,13,4,22
63034742,13,4,22
63225332,13,3,23
63309626,13,4,22
63602083,13,4,22
63602457,13,4,22
63712577,13,2,24
63864149,13,4,22
64050014,13,3,23
58808699,12,3,21
60536595,12,4,20
60539502,12,4,20
60853692,12,4,20
60864540,12,5,19
61127764,12,4,20
61127805,12,4,20
61230404,12,3,21
61292519,12,4,20
61514239,12,3,21
61770116,12,3,21
62347647,12,2,22
62818577,12,0,24
62855291,12,4,20
63309644,12,4,20
63803377,12,3,21
58726628,11,1,21
59129700,11,3,19
62065687,11,2,20
62156372,11,2,20
62156537,11,2,20
62238385,11,2,20
62539449,11,4,18
62601306,11,0,22
62653601,11,2,20
62840843,11,4,18
62864928,11,4,18
62900796,11,2,20
62904145,11,2,20
63021589,11,4,18
63035220,11,4,18
63119837,11,3,19
63181031,11,4,18
63436748,11,3,19
63829196,11,1,21
58286402,10,3,17
59794944,10,3,17
60209927,10,2,18
60286556,10,3,17
60663799,10,4,16
60663878,10,4,16
60778381,10,3,17
60925886,10,2,18
61070647,10,3,17
61073628,10,0,20
61361394,10,0,20
61834532,10,4,16
62121277,10,4,16
62174278,10,1,19
62241615,10,2,18
62375272,10,3,17
62416496,10,2,18
62539815,10,3,17
62594782,10,4,16
62596340,10,4,16
62596506,10,3,17
62637869,10,3,17
62941812,10,3,17
62953641,10,3,17
63068393,10,4,16
63529343,10,3,17
63661133,10,4,16
63680986,10,2,18
63792121,10,4,16
63904509,10,1,19
63980171,10,3,17
64012334,10,3,17
64115306,10,1,19
64150481,10,4,16
64175450,10,3,17
58184365,9,3,15
58531809,9,3,15
59809637,9,4,14
59959008,9,1,17
61924299,9,3,15
61983513,9,4,14
62048291,9,4,14
62148620,9,1,17
62199476,9,0,18
62863351,9,3,15
62919493,9,3,15
63442971,9,4,14
63529325,9,3,15
63581051,9,2,16
63630333,9,4,14
63639212,9,3,15
63708811,9,4,14
63723530,9,4,14
63732141,9,4,14
63911535,9,3,15
64034449,9,1,17
64072727,9,3,15
64151114,9,4,14
60149892,8,4,12
60826872,8,0,16
60939361,8,5,11
60984950,8,3,13
61838388,8,0,16
61883506,8,4,12
62595312,8,3,13
62603095,8,2,14
62811182,8,3,13
62835040,8,4,12
62871565,8,4,12
62874125,8,3,13
62887483,8,1,15
63432882,8,2,14
63510075,8,3,13
63556993,8,2,14
63682169,8,0,16
63682349,8,0,16
63710428,8,0,16
64160486,8,3,13
60640398,7,2,12
61277256,7,0,14
61796086,7,3,11
61952195,7,0,14
61952450,7,4,10
62457899,7,5,9
62556182,7,1,13
63216516,7,3,11
63765605,7,0,14
63884854,7,4,10
61894104,6,4,8
62115315,6,3,9
62399485,6,5,7
62501302,6,4,8
62600095,6,3,9
62863398,6,4,8
62881028,6,5,7
62887484,6,1,11
63265206,6,3,9
63670750,6,4,8
63827887,6,4,8
63884677,6,3,9
58516358,5,5,5
58617061,5,1,9
59355217,5,0,10
60254388,5,3,7
60439303,5,5,5
61779443,5,3,7
61783011,5,3,7
61799812,5,3,7
61953314,5,4,6
62478520,5,4,6
63002117,5,7,3
63147817,5,4,6
63412378,5,1,9
63499717,5,4,6
63859081,5,0,10
61752735,4,2,6
61976092,4,2,6
62283120,4,2,6
62324291,4,0,8
62954800,4,0,8
63050560,4,4,4
58549740,3,4,2
59822115,3,3,3
60390184,3,3,3
60606673,3,4,2
62482105,3,5,1
63236785,3,3,3
63783362,3,3,3
61422904,2,4,0
62481887,2,5,-1
63019226,2,3,1
63164709,2,3,1
63558977,2,3,1
63649872,2,2,2
