# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-marwaahmed | Total High Potential: 215
Student ID,Classes Completed,Booked Unattended,Priority Score
58253560,28,8,48
63510284,26,6,46
60208608,20,5,35
63531951,20,0,40
63166484,19,5,33
62823754,18,5,31
63518038,18,4,32
63162634,17,5,29
63445750,17,4,30
63522890,17,4,30
59081546,16,4,28
61195255,16,5,27
62423080,16,5,27
63521092,16,4,28
63521991,15,5,25
63910753,15,5,25
64170513,15,2,28
58923183,14,0,28
58945042,14,4,24
59491388,14,4,24
60193500,14,5,23
60626117,14,3,25
63510274,14,4,24
63528703,14,4,24
63532762,14,5,23
63533009,14,5,23
63533195,14,0,28
63713046,14,4,24
64057886,14,5,23
64112747,14,4,24
58380113,13,3,23
58524343,13,0,26
58586724,13,4,22
58622456,13,1,25
58764223,13,4,22
58967610,13,4,22
59551178,13,4,22
60152016,13,5,21
60207982,13,2,24
60726994,13,4,22
60988810,13,4,22
61237743,13,4,22
61256475,13,4,22
61632957,13,3,23
63164969,13,3,23
63267129,13,0,26
63512718,13,4,22
63583008,13,4,22
64092504,13,4,22
64115142,13,3,23
64146072,13,5,21
57980631,12,4,20
58656172,12,4,20
59138085,12,4,20
59424739,12,0,24
59450291,12,4,20
59620042,12,0,24
60792472,12,6,18
62864324,12,0,24
63057243,12,4,20
63133539,12,4,20
63602520,12,0,24
63784567,12,4,20
63931944,12,3,21
58147399,11,5,17
58358436,11,4,18
59015287,11,3,19
60194773,11,3,19
60779929,11,1,21
60800704,11,4,18
60960504,11,0,22
61501545,11,4,18
61694853,11,3,19
61909921,11,0,22
62071842,11,2,20
62077196,11,2,20
62710713,11,3,19
62872154,11,4,18
62887214,11,2,20
63094888,11,5,17
63403111,11,3,19
63442095,11,4,18
63583512,11,2,20
63585221,11,2,20
63585312,11,2,20
64080013,11,3,19
58183484,10,3,17
58454729,10,3,17
58562843,10,3,17
58705307,10,3,17
58823778,10,3,17
59130758,10,0,20
59166212,10,4,16
59567114,10,1,19
59606187,10,3,17
60145311,10,4,16
60149258,10,2,18
60228415,10,5,15
60431236,10,5,15
60433056,10,3,17
60607432,10,4,16
60620322,10,5,15
60688850,10,6,14
61559733,10,3,17
61580733,10,3,17
61795039,10,4,16
61795231,10,4,16
62007498,10,0,20
62159995,10,3,17
62431115,10,3,17
62609677,10,4,16
63064796,10,4,16
63103706,10,1,19
63323618,10,3,17
63521613,10,4,16
63522959,10,3,17
63532074,10,6,14
63583093,10,1,19
63583180,10,1,19
63583823,10,3,17
58214580,9,2,16
58688653,9,0,18
58856458,9,4,14
58970128,9,3,15
59560437,9,2,16
59739842,9,0,18
60203503,9,3,15
60325109,9,4,14
60427187,9,3,15
60432314,9,4,14
60531517,9,2,16
60669513,9,3,15
60797757,9,4,14
60932541,9,0,18
61097802,9,4,14
62024047,9,3,15
63015342,9,4,14
63086574,9,0,18
63509500,9,3,15
63509584,9,3,15
63530434,9,4,14
63560264,9,3,15
63561190,9,4,14
63571486,9,3,15
59566893,8,2,14
59567169,8,0,16
59674148,8,4,12
60540612,8,3,13
60908938,8,4,12
60918425,8,3,13
61501802,8,4,12
63485873,8,3,13
58613227,7,4,10
58661629,7,2,12
58664776,7,4,10
58972324,7,4,10
59420690,7,1,13
60812272,7,0,14
60862386,7,3,11
61809983,7,3,11
62051629,7,3,11
62499911,7,4,10
63015841,7,3,11
63086573,7,0,14
63522546,7,2,12
63528382,7,5,9
58118471,6,4,8
58334316,6,4,8
58459845,6,2,10
58610107,6,2,10
59399619,6,2,10
59424471,6,1,11
60144049,6,3,9
60201716,6,4,8
60358925,6,5,7
60473340,6,0,12
61246544,6,6,6
61986978,6,2,10
62897769,6,2,10
63050198,6,0,12
63442704,6,1,11
58340925,5,4,6
58441892,5,4,6
58570119,5,2,8
59198658,5,0,10
59327819,5,2,8
59986492,5,1,9
62970395,5,4,6
63084920,5,0,10
63521837,5,4,6
63560171,5,2,8
58441649,4,0,8
60502578,4,2,6
61322209,4,2,6
61716413,4,0,8
62015957,4,0,8
62764713,4,3,5
62827693,4,2,6
63485982,4,3,5
63507436,4,2,6
63509698,4,0,8
63523714,4,2,6
63526954,4,2,6
58803557,3,0,6
59583125,3,0,6
59812488,3,0,6
60588255,3,2,4
62609737,3,2,4
62629798,3,0,6
63509924,3,4,2
63514430,3,3,3
63529716,3,4,2
58219735,2,4,0
63359229,2,2,2
63435215,2,4,0
