# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-mohamedha | Total High Potential: 169
Student ID,Classes Completed,Booked Unattended,Priority Score
63920433,25,8,42
60211984,21,5,37
60840317,21,5,37
63818833,21,8,34
58555602,20,5,35
61439574,19,0,38
58730859,17,5,29
58232453,16,4,28
60679404,16,4,28
61201313,16,4,28
62813502,16,4,28
63887212,16,0,32
58948874,15,4,26
61186750,15,4,26
61412595,15,4,26
63960732,15,0,30
64152514,15,2,28
58452428,14,5,23
58944508,14,4,24
61107057,14,6,22
61540682,14,0,28
62015729,14,5,23
63572496,14,4,24
63572711,14,4,24
63798500,14,0,28
63885961,14,5,23
58830331,13,4,22
60218569,13,4,22
61885389,13,6,20
62254617,13,4,22
62255621,13,4,22
63313846,13,3,23
63413252,13,3,23
63571650,13,4,22
63735152,13,4,22
63901944,13,0,26
59488544,12,0,24
59678118,12,0,24
61071615,12,4,20
62112685,12,2,22
62123750,12,4,20
62453265,12,4,20
63313849,12,3,21
63876397,12,0,24
58610923,11,6,16
58966365,11,2,20
59279292,11,5,17
60360506,11,1,21
60370915,11,1,21
60631009,11,4,18
60645130,11,4,18
61083054,11,3,19
62556018,11,3,19
63235819,11,2,20
63605547,11,3,19
63605673,11,0,22
63773871,11,0,22
58159049,10,4,16
58605027,10,4,16
59148585,10,9,11
59288632,10,4,16
59895806,10,0,20
60108825,10,2,18
60307268,10,2,18
60307712,10,2,18
60509916,10,2,18
60899941,10,0,20
61005269,10,2,18
61028534,10,4,16
62556379,10,3,17
62912078,10,3,17
62972770,10,1,19
63080032,10,1,19
63173416,10,4,16
63205732,10,3,17
63371415,10,4,16
63559957,10,0,20
63582241,10,3,17
63713805,10,3,17
63824247,10,1,19
63866571,10,0,20
57606647,9,4,14
58522544,9,2,16
59308147,9,5,13
60512996,9,1,17
60743320,9,1,17
61018792,9,2,16
61059857,9,4,14
61347653,9,5,13
61595960,9,4,14
61851289,9,3,15
62550347,9,2,16
62556612,9,3,15
63349728,9,6,12
63464726,9,3,15
63559882,9,3,15
63562543,9,3,15
63868653,9,3,15
63927869,9,0,18
58549793,8,5,11
60270913,8,3,13
60569598,8,2,14
60768298,8,3,13
61059859,8,3,13
61774161,8,5,11
61942009,8,6,10
62391377,8,15,1
62425364,8,0,16
62940136,8,5,11
63178391,8,4,12
63722873,8,7,9
64053360,8,2,14
58525629,7,0,14
58613337,7,4,10
58621460,7,2,12
59182559,7,3,11
60687596,7,4,10
60692406,7,3,11
60734970,7,0,14
60954110,7,3,11
61741665,7,0,14
63435590,7,0,14
63562654,7,4,10
63575382,7,3,11
63590561,7,3,11
63647512,7,3,11
63670024,7,0,14
63946328,7,4,10
63985681,7,0,14
58514163,6,2,10
59188574,6,4,8
59417648,6,4,8
59951228,6,0,12
60370920,6,1,11
61039818,6,2,10
61681962,6,4,8
62865091,6,0,12
63757096,6,3,9
63876385,6,2,10
63911402,6,1,11
58271422,5,3,7
58674762,5,0,10
58697817,5,7,3
59282415,5,0,10
59995097,5,2,8
62852331,5,3,7
63331462,5,1,9
63446516,5,0,10
63647534,5,1,9
63847466,5,0,10
58481383,4,0,8
58787949,4,2,6
60619387,4,5,3
61524554,4,0,8
61926182,4,3,5
62122383,4,4,4
63045669,4,4,4
63474743,4,2,6
64062744,4,0,8
58348231,3,2,4
58787496,3,1,5
61074099,3,2,4
61292715,3,3,3
62630024,3,5,1
58573063,2,4,0
59786080,2,4,0
62897496,2,2,2
63144961,2,0,4
63725083,2,2,2
