# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-negma | Total High Potential: 215
Student ID,Classes Completed,Booked Unattended,Priority Score
64159936,28,5,51
64159762,26,10,42
63913249,24,4,44
64105028,21,8,34
58393189,20,5,35
59899606,20,10,30
58234347,19,5,33
60918434,19,4,34
60401820,18,5,31
61432941,18,5,31
63886874,18,6,30
64062042,18,5,31
58769809,17,4,30
58850803,17,5,29
59912382,17,4,30
61581130,17,5,29
61839671,17,5,29
63888117,17,5,29
63997719,17,4,30
64157520,17,5,29
60196201,16,5,27
60605944,16,5,27
60652680,16,4,28
61521036,16,4,28
62437837,16,5,27
63617245,16,5,27
63618863,16,5,27
63619122,16,4,28
63871594,16,4,28
64069680,16,0,32
58132400,15,5,25
58511315,15,5,25
59766813,15,5,25
59891063,15,4,26
59900807,15,4,26
59933730,15,5,25
62960003,15,5,25
63207337,15,3,27
63213014,15,3,27
64059123,15,2,28
58348861,14,3,25
58655748,14,2,26
58736978,14,5,23
59245594,14,4,24
59905413,14,8,20
61396670,14,4,24
61804073,14,0,28
62908857,14,5,23
63821044,14,4,24
63977089,14,4,24
64066115,14,3,25
64159745,14,5,23
58592863,13,3,23
58659334,13,4,22
58971660,13,4,22
59904188,13,4,22
59943050,13,5,21
59944577,13,4,22
59962733,13,3,23
60366968,13,2,24
60792692,13,3,23
61288021,13,4,22
61542255,13,4,22
61566872,13,4,22
61910132,13,0,26
62497154,13,0,26
62788151,13,4,22
63486510,13,4,22
63569640,13,4,22
63635901,13,0,26
63735670,13,4,22
63887238,13,4,22
64157873,13,5,21
58455325,12,0,24
58884682,12,4,20
59704502,12,3,21
59915899,12,3,21
59927872,12,4,20
59941638,12,5,19
59957101,12,4,20
60737266,12,2,22
61813029,12,4,20
62761236,12,4,20
63015340,12,0,24
63473919,12,4,20
63489233,12,4,20
63935986,12,4,20
58267501,11,3,19
58633249,11,2,20
58778519,11,3,19
58857798,11,3,19
58969077,11,4,18
59186996,11,4,18
59476116,11,3,19
59895425,11,0,22
59942303,11,4,18
61799841,11,4,18
62388474,11,3,19
63436253,11,1,21
63573528,11,4,18
63683296,11,4,18
63734720,11,0,22
63903331,11,4,18
64070142,11,3,19
58209332,10,2,18
58602688,10,2,18
58792434,10,3,17
59217908,10,3,17
59696468,10,1,19
59904633,10,2,18
59914594,10,3,17
59914898,10,4,16
59924930,10,0,20
59961835,10,0,20
59968100,10,0,20
60184451,10,0,20
61673615,10,4,16
61831257,10,4,16
62807154,10,4,16
62839868,10,4,16
63055479,10,0,20
63390140,10,1,19
63506521,10,4,16
63661884,10,2,18
63662219,10,2,18
63730842,10,2,18
63831853,10,2,18
63946961,10,3,17
64113469,10,2,18
64134862,10,4,16
64142999,10,3,17
58441836,9,2,16
59907033,9,1,17
59912341,9,4,14
61000020,9,2,16
61204345,9,3,15
61236165,9,5,13
62071195,9,4,14
63619617,9,5,13
63720144,9,4,14
63877879,9,0,18
58737034,8,4,12
58739679,8,2,14
58850122,8,0,16
58932549,8,3,13
59890588,8,4,12
59932952,8,6,10
61195450,8,3,13
62034784,8,0,16
63087526,8,5,11
63241480,8,4,12
63495843,8,5,11
63721414,8,0,16
63763270,8,3,13
63811089,8,5,11
63878108,8,0,16
63878111,8,0,16
63879127,8,0,16
63998840,8,0,16
59464440,7,3,11
59891017,7,3,11
59914881,7,4,10
59917822,7,4,10
59938060,7,4,10
59944876,7,4,10
59973638,7,2,12
60532782,7,4,10
61958115,7,4,10
62016583,7,3,11
63282475,7,4,10
63387981,7,1,13
63916027,7,6,8
64115498,7,1,13
58345017,6,3,9
58345768,6,3,9
58452292,6,0,12
58739262,6,5,7
59973328,6,2,10
60176247,6,0,12
60539845,6,1,11
60692153,6,2,10
63652917,6,4,8
63662298,6,2,10
63799740,6,3,9
59057958,5,0,10
59792544,5,0,10
59950091,5,1,9
61179772,5,0,10
61195267,5,3,7
63617180,5,2,8
63701689,5,1,9
63824479,5,1,9
57645863,4,0,8
58825988,4,3,5
58846157,4,1,7
59892703,4,3,5
59925653,4,7,1
59929138,4,5,3
59969620,4,0,8
60298117,4,3,5
60332773,4,0,8
61561058,4,2,6
63994914,4,5,3
64070144,4,0,8
64095288,4,2,6
58456102,3,4,2
59907480,3,1,5
59907910,3,3,3
59968455,3,4,2
60568135,3,4,2
61038578,3,0,6
62548225,3,2,4
58413231,2,0,4
60802611,2,1,3
63443217,2,3,1
