# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-nohayoussry | Total High Potential: 209
Student ID,Classes Completed,Booked Unattended,Priority Score
58281589,22,3,41
63071699,21,0,42
63895203,21,5,37
62834551,20,3,37
61212021,19,4,34
62954769,18,4,32
63145669,18,5,31
63153039,18,5,31
63794001,18,7,29
60751244,17,1,33
61800964,17,4,30
62951582,17,4,30
63747711,17,5,29
63838029,17,5,29
63856017,17,5,29
64051636,17,3,31
60691216,16,5,27
60751265,16,1,31
61312344,16,2,30
62789240,16,5,27
63198055,16,3,29
63352417,16,2,30
64181529,16,5,27
60043292,15,2,28
63227417,15,4,26
63451699,15,0,30
63775081,15,4,26
59395311,14,3,25
59682175,14,0,28
60151678,14,4,24
60485199,14,3,25
60492014,14,4,24
61676279,14,3,25
61998899,14,4,24
63224723,14,4,24
63822802,14,4,24
63970152,14,4,24
63997297,14,4,24
57880776,13,5,21
58366722,13,4,22
58517743,13,4,22
58645085,13,4,22
59028213,13,4,22
59364150,13,4,22
61001561,13,4,22
61010950,13,4,22
61702203,13,3,23
61908677,13,4,22
63462195,13,4,22
63477988,13,3,23
63552883,13,4,22
63647805,13,4,22
63664211,13,4,22
63789958,13,4,22
63923125,13,4,22
64121257,13,2,24
64133946,13,5,21
58662152,12,1,23
58929241,12,4,20
59118181,12,0,24
59228774,12,3,21
59564586,12,2,22
59611071,12,4,20
61048101,12,4,20
61873472,12,6,18
62221309,12,4,20
63499825,12,3,21
63572387,12,2,22
63586185,12,3,21
63629937,12,4,20
63705740,12,2,22
63712673,12,2,22
63719265,12,2,22
58066900,11,1,21
58905299,11,3,19
59057440,11,4,18
59107121,11,4,18
59255310,11,3,19
59590582,11,3,19
60157040,11,4,18
60726322,11,5,17
60826243,11,4,18
61324741,11,4,18
62073923,11,3,19
62149950,11,2,20
62538008,11,1,21
62614288,11,4,18
62926439,11,2,20
63181496,11,3,19
63606324,11,3,19
63746985,11,2,20
63996465,11,2,20
58766785,10,3,17
58816399,10,3,17
58846048,10,4,16
59038707,10,3,17
60234399,10,3,17
60999591,10,4,16
61093124,10,0,20
61144039,10,3,17
61569347,10,3,17
61658176,10,2,18
61782644,10,4,16
61809571,10,3,17
61880738,10,5,15
62248187,10,4,16
62500581,10,4,16
62811234,10,4,16
62819763,10,3,17
62850073,10,4,16
62857609,10,5,15
63178353,10,3,17
63344044,10,0,20
63389922,10,4,16
63536556,10,1,19
63557963,10,4,16
63572592,10,4,16
63679348,10,3,17
63681579,10,0,20
63846821,10,3,17
64141903,10,4,16
58335632,9,2,16
59033582,9,0,18
59143569,9,2,16
59585613,9,4,14
59900734,9,3,15
60567264,9,3,15
61800095,9,4,14
62865697,9,2,16
62970339,9,3,15
63077995,9,0,18
63194600,9,1,17
63396638,9,1,17
63437256,9,3,15
63539174,9,2,16
63558425,9,3,15
63606413,9,3,15
63615754,9,2,16
63661936,9,3,15
63736712,9,0,18
64053357,9,0,18
58095475,8,3,13
58344108,8,3,13
58573105,8,0,16
59089760,8,0,16
59294549,8,2,14
61070327,8,8,8
61322654,8,4,12
61958146,8,2,14
62984698,8,4,12
63217435,8,0,16
63344810,8,3,13
63498717,8,1,15
63595064,8,2,14
63948152,8,4,12
59274716,7,2,12
59534043,7,2,12
59565049,7,0,14
60547220,7,2,12
60743313,7,4,10
61060966,7,4,10
61285575,7,3,11
63047847,7,5,9
63102470,7,2,12
63160735,7,3,11
63172955,7,3,11
63560293,7,3,11
63856380,7,3,11
63895787,7,3,11
58508723,6,1,11
58574839,6,0,12
59158841,6,0,12
60901866,6,3,9
62818000,6,2,10
63072112,6,4,8
63339174,6,0,12
63683509,6,3,9
63766722,6,0,12
58515455,5,0,10
58516213,5,4,6
58783940,5,0,10
59275677,5,0,10
61612369,5,4,6
62815648,5,5,5
62835094,5,3,7
62932958,5,5,5
63447145,5,4,6
63596137,5,4,6
63614137,5,4,6
63997596,5,3,7
60311123,4,4,4
61728309,4,4,4
61831343,4,0,8
62164923,4,5,3
62794330,4,3,5
63572765,4,2,6
58522740,3,0,6
58571370,3,0,6
60532849,3,4,2
61801369,3,0,6
61991267,3,1,5
63147637,3,0,6
63444130,3,0,6
58346858,2,0,4
58707366,2,0,4
60307802,2,4,0
61272828,2,0,4
62346533,2,3,1
62772858,2,0,4
