# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-omarmoneb | Total High Potential: 187
Student ID,Classes Completed,Booked Unattended,Priority Score
62400935,18,4,32
62527872,18,4,32
62979499,18,4,32
58823566,17,4,30
62513484,17,2,32
62788019,17,6,28
63169657,17,4,30
64152118,17,3,31
60233309,16,4,28
61097084,16,7,25
63732442,15,4,26
59761751,14,4,24
60316263,14,2,26
62222098,14,4,24
62235256,14,4,24
62496305,14,4,24
62530527,14,4,24
62626985,14,8,20
63546067,14,2,26
59239307,13,5,21
60620865,13,4,22
60653624,13,3,23
60967847,13,4,22
62325162,13,4,22
62872871,13,4,22
63423360,13,4,22
63537565,13,4,22
58033801,12,4,20
59109688,12,4,20
60587233,12,0,24
60635885,12,2,22
60795987,12,3,21
60994191,12,3,21
61007375,12,4,20
62377343,12,3,21
62378221,12,3,21
63306723,12,4,20
63639042,12,0,24
63844917,12,4,20
63888130,12,5,19
57940143,11,3,19
58732233,11,3,19
58825732,11,4,18
59121714,11,4,18
59476463,11,1,21
60249983,11,3,19
60791316,11,1,21
61290918,11,4,18
61470342,11,2,20
61493296,11,2,20
61549827,11,2,20
61681929,11,3,19
61720706,11,4,18
62522812,11,3,19
62832527,11,4,18
63050503,11,0,22
63400008,11,3,19
63489672,11,4,18
63604147,11,2,20
63620744,11,0,22
63818113,11,3,19
63848499,11,4,18
63857926,11,4,18
63858009,11,4,18
58217347,10,2,18
58712129,10,2,18
59481806,10,3,17
59773319,10,2,18
59907687,10,3,17
60171652,10,1,19
60824154,10,3,17
61017228,10,2,18
61118513,10,4,16
61127430,10,3,17
61195775,10,3,17
61326200,10,4,16
61393519,10,4,16
61750847,10,3,17
62382120,10,2,18
62526748,10,2,18
62556165,10,2,18
62583172,10,3,17
62589677,10,3,17
62928953,10,3,17
63094497,10,2,18
63134462,10,0,20
63306007,10,4,16
63388108,10,4,16
63394549,10,0,20
63466885,10,3,17
63742785,10,2,18
64133977,10,2,18
64134737,10,3,17
64157453,10,1,19
59625650,9,3,15
59723476,9,2,16
59897787,9,0,18
60016396,9,2,16
60523183,9,3,15
61565197,9,0,18
62096189,9,8,10
62202285,9,0,18
62310879,9,3,15
63050765,9,4,14
63080264,9,4,14
63522319,9,4,14
63673148,9,1,17
59019680,8,0,16
60021304,8,4,12
60057644,8,2,14
60539865,8,4,12
60705129,8,0,16
61019895,8,0,16
62514236,8,4,12
62521571,8,2,14
62627418,8,0,16
62629793,8,0,16
62695926,8,3,13
62789946,8,3,13
63078556,8,4,12
63177979,8,1,15
63487290,8,0,16
63673173,8,1,15
63708853,8,1,15
58726073,7,1,13
59366415,7,3,11
60388275,7,2,12
61065778,7,5,9
61069758,7,3,11
62211578,7,3,11
62213843,7,0,14
62239833,7,3,11
62402533,7,0,14
62502927,7,3,11
63094744,7,2,12
64123333,7,0,14
58369349,6,3,9
59131977,6,0,12
60121985,6,4,8
60733795,6,0,12
61148377,6,5,7
61259239,6,4,8
61283879,6,0,12
61284605,6,0,12
61851226,6,4,8
62652890,6,3,9
62841165,6,0,12
63016704,6,4,8
63386291,6,0,12
58345323,5,1,9
59765233,5,0,10
60482145,5,4,6
60792883,5,3,7
61655862,5,0,10
61723879,5,4,6
62383079,5,0,10
62926302,5,4,6
63126398,5,4,6
63603792,5,0,10
59619652,4,3,5
60397499,4,0,8
60860252,4,3,5
60987924,4,0,8
61235680,4,5,3
62180832,4,1,7
62800589,4,1,7
63510728,4,0,8
63519599,4,0,8
63584121,4,0,8
63596120,4,1,7
58862251,3,0,6
59770688,3,0,6
60696469,3,3,3
61281337,3,0,6
62202503,3,3,3
62213638,3,0,6
62310412,3,0,6
62327856,3,2,4
63583806,3,0,6
61030273,2,4,0
61030890,2,3,1
61718244,2,2,2
62106560,2,4,0
62367169,2,2,2
62683370,2,0,4
63603950,2,0,4
64007552,2,0,4
