# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-samira01 | Total High Potential: 225
Student ID,Classes Completed,Booked Unattended,Priority Score
63617196,22,4,40
58883465,21,4,38
62788694,20,0,40
63802544,20,5,35
58644833,19,5,33
63155371,19,0,38
63498189,19,5,33
63730843,19,4,34
63894444,19,5,33
60246947,18,5,31
61487431,18,4,32
62849409,18,4,32
63593084,18,4,32
61476385,17,4,30
62424568,17,5,29
63236917,17,4,30
63632861,17,4,30
63691939,17,4,30
63822485,17,5,29
63869149,17,4,30
58340268,16,5,27
58457572,16,1,31
59615465,16,4,28
60425992,16,0,32
60561050,16,5,27
59615647,15,4,26
62445853,15,2,28
63306885,15,3,27
59124944,14,4,24
59884302,14,3,25
61753619,14,4,24
62265886,14,3,25
62758090,14,4,24
62824824,14,3,25
62962211,14,2,26
63157748,14,3,25
63224023,14,0,28
63719540,14,4,24
63832457,14,5,23
63929009,14,4,24
64161248,14,5,23
58608485,13,0,26
58970938,13,6,20
59333672,13,4,22
60400184,13,5,21
60687367,13,4,22
60775068,13,4,22
61538603,13,1,25
62441255,13,2,24
62554546,13,3,23
62668526,13,4,22
62825243,13,4,22
62865488,13,4,22
62932732,13,5,21
64180740,13,4,22
58199771,12,4,20
59007564,12,0,24
59197931,12,5,19
59364585,12,2,22
59462232,12,0,24
60867909,12,4,20
61639721,12,1,23
61767553,12,3,21
61769453,12,4,20
62561488,12,3,21
62569844,12,5,19
62609385,12,0,24
62710281,12,4,20
62720104,12,0,24
62811329,12,3,21
63078505,12,4,20
63172027,12,4,20
63561650,12,4,20
63603993,12,4,20
63822388,12,4,20
63932910,12,6,18
64087617,12,3,21
58395174,11,2,20
58644626,11,5,17
58732462,11,4,18
60372546,11,4,18
60605437,11,0,22
60793991,11,4,18
61337114,11,4,18
61620447,11,3,19
61773236,11,3,19
61842021,11,0,22
61948489,11,5,17
62402323,11,4,18
62535162,11,2,20
62684074,11,4,18
62688540,11,4,18
62764583,11,3,19
62788589,11,4,18
62792151,11,3,19
63481413,11,0,22
63584000,11,3,19
63774339,11,3,19
64071146,11,3,19
58285255,10,4,16
58605582,10,4,16
58863770,10,3,17
60660292,10,4,16
60741498,10,1,19
60756640,10,3,17
60757003,10,3,17
60757009,10,3,17
61654765,10,4,16
61660021,10,3,17
62311194,10,2,18
62313671,10,2,18
62325334,10,5,15
62602153,10,3,17
62609387,10,3,17
62787242,10,3,17
62809936,10,3,17
62865556,10,3,17
62878887,10,3,17
63248142,10,3,17
63404615,10,5,15
63424046,10,3,17
63708788,10,5,15
63812725,10,4,16
63910070,10,2,18
64059932,10,2,18
64088026,10,3,17
64180925,10,4,16
58156938,9,4,14
58313206,9,0,18
58814692,9,3,15
59108593,9,3,15
59415103,9,2,16
59588738,9,5,13
60650674,9,3,15
60662489,9,4,14
61089599,9,5,13
61227536,9,4,14
61501321,9,1,17
61620177,9,3,15
62079971,9,3,15
62375258,9,4,14
62535514,9,3,15
62703812,9,3,15
62774304,9,2,16
62795820,9,3,15
63135227,9,0,18
63155746,9,3,15
57927902,8,1,15
58317070,8,4,12
58777029,8,4,12
59246309,8,4,12
59944975,8,4,12
60724248,8,4,12
60724424,8,6,10
61070820,8,4,12
61261500,8,2,14
61354080,8,4,12
62396042,8,4,12
62432586,8,3,13
62691250,8,3,13
63569328,8,2,14
63766927,8,4,12
58476812,7,0,14
58617882,7,2,12
58831441,7,1,13
58945859,7,4,10
59372122,7,4,10
59497298,7,3,11
61412097,7,4,10
61667351,7,0,14
62668060,7,0,14
62701385,7,3,11
63719977,7,2,12
58237522,6,0,12
58717084,6,1,11
59470001,6,4,8
60530856,6,0,12
60744451,6,3,9
61354270,6,5,7
61627632,6,1,11
61747952,6,2,10
62173127,6,4,8
62535247,6,2,10
62683071,6,0,12
62786978,6,3,9
62786997,6,3,9
62962305,6,5,7
63060603,6,2,10
63113870,6,3,9
63472484,6,4,8
63635991,6,3,9
60720959,5,4,6
62173150,5,4,6
62317581,5,3,7
58854943,4,4,4
59008620,4,4,4
60133020,4,0,8
60562909,4,4,4
60612303,4,3,5
62779575,4,3,5
63059476,4,0,8
63059479,4,0,8
63156753,4,3,5
63556297,4,5,3
63640909,4,0,8
64131603,4,4,4
61051814,3,2,4
61628567,3,1,5
62094645,3,0,6
62344308,3,3,3
62660169,3,3,3
62815934,3,4,2
63156303,3,0,6
58357780,2,0,4
58814728,2,0,4
59255040,2,0,4
59276259,2,3,1
59465538,2,3,1
60513218,2,0,4
60908625,2,4,0
60968948,2,0,4
61705238,2,4,0
62432782,2,3,1
62540030,2,0,4
63088549,2,4,0
