# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-titooooo | Total High Potential: 212
Student ID,Classes Completed,Booked Unattended,Priority Score
64159161,26,9,43
62530207,22,5,39
62543705,22,5,39
58828419,21,2,40
63198108,19,1,37
63763940,18,4,32
63876223,18,4,32
64160371,18,7,29
59266442,17,5,29
60546863,17,5,29
61128389,17,5,29
61658449,17,5,29
63722296,17,3,31
58405794,15,6,24
60240342,15,3,27
60463301,15,5,25
61171971,15,6,24
61201980,15,4,26
61268297,15,2,28
62901679,15,4,26
63757005,15,4,26
63875600,15,0,30
63955741,15,5,25
64031248,15,4,26
64033294,15,6,24
58794556,14,4,24
61384611,14,4,24
61706413,14,4,24
62539473,14,5,23
62596512,14,1,27
63216488,14,3,25
63833168,14,4,24
64052903,14,4,24
64079933,14,4,24
57819228,13,5,21
58603663,13,3,23
58659955,13,3,23
59219702,13,4,22
60201796,13,4,22
60326330,13,0,26
60460534,13,4,22
61091703,13,0,26
61209313,13,4,22
61283602,13,3,23
61329462,13,4,22
61524572,13,3,23
61811974,13,4,22
62796032,13,4,22
63464299,13,4,22
63480205,13,4,22
63661360,13,4,22
63812757,13,3,23
58659635,12,2,22
59547592,12,4,20
59613670,12,4,20
60096294,12,4,20
60389256,12,4,20
60810922,12,0,24
60823170,12,4,20
61341495,12,4,20
61594539,12,4,20
61655612,12,4,20
62867577,12,4,20
63380812,12,4,20
63627944,12,4,20
63658762,12,4,20
63970406,12,4,20
58526954,11,5,17
59114491,11,0,22
60093722,11,4,18
60264496,11,4,18
60404880,11,4,18
60404973,11,3,19
61061100,11,4,18
62529687,11,4,18
62815089,11,4,18
62920073,11,0,22
62925667,11,2,20
62925947,11,2,20
63014561,11,4,18
63144980,11,2,20
63390626,11,2,20
63582255,11,1,21
63593927,11,4,18
63603280,11,4,18
63614908,11,2,20
63652524,11,4,18
63672545,11,9,13
63771908,11,4,18
63945577,11,6,16
58163223,10,4,16
58361199,10,3,17
58594982,10,3,17
58780999,10,2,18
59353955,10,4,16
59555669,10,4,16
60269952,10,4,16
60430565,10,4,16
60670333,10,4,16
61176265,10,3,17
61293590,10,1,19
61396629,10,1,19
61501336,10,4,16
61572132,10,4,16
61662663,10,3,17
62409023,10,4,16
62447258,10,0,20
62713226,10,4,16
62803562,10,3,17
62835635,10,4,16
62840072,10,4,16
62994845,10,5,15
63015805,10,4,16
63470829,10,3,17
63503087,10,3,17
63517766,10,2,18
63521420,10,2,18
63663463,10,2,18
63753234,10,0,20
63775851,10,0,20
63812375,10,2,18
63910356,10,2,18
64140772,10,3,17
58478633,9,4,14
59494739,9,2,16
60181708,9,3,15
60389714,9,2,16
60425439,9,4,14
60848408,9,1,17
61068144,9,0,18
61431858,9,1,17
61587030,9,0,18
61810995,9,4,14
61882485,9,5,13
62182933,9,2,16
62586773,9,3,15
62786987,9,3,15
62803019,9,3,15
63174104,9,4,14
63463770,9,3,15
63485816,9,1,17
63496568,9,5,13
63742653,9,4,14
59441316,8,3,13
59453856,8,2,14
59495001,8,2,14
60088189,8,4,12
60405740,8,2,14
61293829,8,2,14
62149627,8,2,14
62160379,8,2,14
62377884,8,0,16
62803020,8,3,13
63045215,8,2,14
63333356,8,0,16
63487484,8,3,13
63575627,8,3,13
63781985,8,0,16
63997479,8,0,16
58562460,7,2,12
59004614,7,3,11
59338237,7,0,14
59467896,7,2,12
59764917,7,2,12
60202162,7,4,10
60444722,7,1,13
61051357,7,4,10
62426349,7,4,10
62506357,7,0,14
63928936,7,3,11
64160373,7,3,11
57632033,6,5,7
58616692,6,5,7
59027937,6,4,8
59045654,6,0,12
59266350,6,2,10
59937792,6,5,7
61259499,6,3,9
61425823,6,1,11
61872219,6,3,9
62978645,6,3,9
63232981,6,3,9
63549742,6,4,8
63707654,6,3,9
63818374,6,0,12
58352421,5,2,8
58788648,5,0,10
61290572,5,4,6
62855523,5,3,7
63037456,5,2,8
63520060,5,3,7
57824085,4,0,8
58217509,4,0,8
58219973,4,0,8
58393669,4,2,6
59678666,4,5,3
59917836,4,3,5
60168083,4,3,5
61303740,4,4,4
62902447,4,4,4
63244211,4,4,4
58149274,3,0,6
59079366,3,0,6
63309060,3,3,3
63709075,3,5,1
59910150,2,4,0
60458717,2,0,4
61554895,2,0,4
62411627,2,4,0
62927000,2,0,4
62985087,2,0,4
63510627,2,0,4
