Agent,Team,Student ID,Classes Completed (Month),Booked Unattended,Priority Score
EGLP-mohamed06,ME-EGSS10小组,63058549,20,0,40
EGLP-mohamed06,ME-EGSS10小组,63961952,19,4,34
EGLP-mohamed06,ME-EGSS10小组,61924857,18,4,32
EGLP-mohamed06,ME-EGSS10小组,63697401,18,4,32
EGLP-mohamed06,ME-EGSS10小组,63163518,17,4,30
EGLP-mohamed06,ME-EGSS10小组,63636528,17,5,29
EGLP-mohamed06,ME-EGSS10小组,61864495,16,3,29
EGLP-mohamed06,ME-EGSS10小组,61922375,16,2,30
EGLP-mohamed06,ME-EGSS10小组,63955491,16,4,28
EGLP-mohamed06,ME-EGSS10小组,60540732,15,4,26
EGLP-mohamed06,ME-EGSS10小组,60650356,15,5,25
EGLP-mohamed06,ME-EGSS10小组,61875874,15,3,27
EGLP-mohamed06,ME-EGSS10小组,61895826,15,3,27
EGLP-mohamed06,ME-EGSS10小组,61944715,15,4,26
EGLP-mohamed06,ME-EGSS10小组,63479850,15,4,26
EGLP-mohamed06,ME-EGSS10小组,63540846,15,4,26
EGLP-mohamed06,ME-EGSS10小组,57962078,14,4,24
EGLP-mohamed06,ME-EGSS10小组,59041885,14,4,24
EGLP-mohamed06,ME-EGSS10小组,60878864,14,4,24
EGLP-mohamed06,ME-EGSS10小组,61216239,14,4,24
EGLP-mohamed06,ME-EGSS10小组,61410343,14,0,28
EGLP-mohamed06,ME-EGSS10小组,61880711,14,4,24
EGLP-mohamed06,ME-EGSS10小组,61903097,14,3,25
EGLP-mohamed06,ME-EGSS10小组,61909432,14,4,24
EGLP-mohamed06,ME-EGSS10小组,63120286,14,4,24
EGLP-mohamed06,ME-EGSS10小组,63397811,14,4,24
EGLP-mohamed06,ME-EGSS10小组,63548001,14,3,25
EGLP-mohamed06,ME-EGSS10小组,63673145,14,2,26
EGLP-mohamed06,ME-EGSS10小组,63722447,14,4,24
EGLP-mohamed06,ME-EGSS10小组,63965181,14,5,23
EGLP-mohamed06,ME-EGSS10小组,58186111,13,4,22
EGLP-mohamed06,ME-EGSS10小组,61859701,13,4,22
EGLP-mohamed06,ME-EGSS10小组,61959401,13,3,23
EGLP-mohamed06,ME-EGSS10小组,62383654,13,4,22
EGLP-mohamed06,ME-EGSS10小组,63201607,13,4,22
EGLP-mohamed06,ME-EGSS10小组,63204215,13,4,22
EGLP-mohamed06,ME-EGSS10小组,63306704,13,4,22
EGLP-mohamed06,ME-EGSS10小组,63530154,13,3,23
EGLP-mohamed06,ME-EGSS10小组,63997697,13,3,23
EGLP-mohamed06,ME-EGSS10小组,58564908,12,4,20
EGLP-mohamed06,ME-EGSS10小组,59257481,12,3,21
EGLP-mohamed06,ME-EGSS10小组,59822821,12,4,20
EGLP-mohamed06,ME-EGSS10小组,61625968,12,0,24
EGLP-mohamed06,ME-EGSS10小组,61900878,12,3,21
EGLP-mohamed06,ME-EGSS10小组,61925485,12,4,20
EGLP-mohamed06,ME-EGSS10小组,61940854,12,0,24
EGLP-mohamed06,ME-EGSS10小组,61942381,12,4,20
EGLP-mohamed06,ME-EGSS10小组,61957090,12,0,24
EGLP-mohamed06,ME-EGSS10小组,61959583,12,2,22
EGLP-mohamed06,ME-EGSS10小组,62388070,12,3,21
EGLP-mohamed06,ME-EGSS10小组,63370165,12,4,20
EGLP-mohamed06,ME-EGSS10小组,63497650,12,4,20
EGLP-mohamed06,ME-EGSS10小组,63627295,12,0,24
EGLP-mohamed06,ME-EGSS10小组,63700187,12,4,20
EGLP-mohamed06,ME-EGSS10小组,58112904,11,2,20
EGLP-mohamed06,ME-EGSS10小组,58785135,11,2,20
EGLP-mohamed06,ME-EGSS10小组,59067152,11,4,18
EGLP-mohamed06,ME-EGSS10小组,59718612,11,5,17
EGLP-mohamed06,ME-EGSS10小组,61335385,11,3,19
EGLP-mohamed06,ME-EGSS10小组,61664150,11,3,19
EGLP-mohamed06,ME-EGSS10小组,61842956,11,4,18
EGLP-mohamed06,ME-EGSS10小组,61891049,11,4,18
EGLP-mohamed06,ME-EGSS10小组,61891617,11,2,20
EGLP-mohamed06,ME-EGSS10小组,61894119,11,4,18
EGLP-mohamed06,ME-EGSS10小组,61912836,11,3,19
EGLP-mohamed06,ME-EGSS10小组,61926934,11,3,19
EGLP-mohamed06,ME-EGSS10小组,61941253,11,0,22
EGLP-mohamed06,ME-EGSS10小组,61956734,11,4,18
EGLP-mohamed06,ME-EGSS10小组,62186878,11,4,18
EGLP-mohamed06,ME-EGSS10小组,62280759,11,1,21
EGLP-mohamed06,ME-EGSS10小组,62401761,11,4,18
EGLP-mohamed06,ME-EGSS10小组,62465376,11,0,22
